kpid,"kwd","kwd2","acc","acc_txt",acc_int,"namAut","shTitle","kwst",bind_int,"bind_txt"
21,"free thinkers; atheism;","free thinkers; atheism;","719","a00719",719,"ANONYMOUS","Serious Advice not to--------;","free thinkers; atheism;Serious Advice not to--------;",0,""
22,"","","916","a00916",916,"ANONYMOUS","Sermons (1770) of an unidentified minister, Three-----;","Sermons (1770) of an unidentified minister, Three-----;",0,""
23,"Boone, Rev. John.;","Boone, Rev. John;","446","a00446",446,"ANONYMOUS","Sin, On-----;","Boone, Rev. John;Sin, On-----;",0,""
24,"peace, none for the wicked; wicked, no peace for the.;","peace, none for the wicked; wicked, no peace for the;","913","a00913",913,"ANONYMOUS","There is no peace saith my God to ye Wicked-----;","peace, none for the wicked; wicked, no peace for the;There is no peace saith my God to ye Wicked-----;",0,""
25,"believers, true and righteous; damnation.;","believers, true and righteous; damnation;","918","a00918",918,"ANONYMOUS","True and righteous believers-----;","believers, true and righteous; damnation;True and righteous believers-----;",0,""
26,"","","912","a00912",912,"ANONYMOUS","Untitled Ms. Sermons 1686 and 1707-----;","Untitled Ms. Sermons 1686 and 1707-----;",0,""
27,"afterlife, proof of; free will; nature; Lee, Robert Edward; judgment.;","afterlife, proof of; free will; nature; Lee, Robert Edward; judgment;","920","a00920",920,"ANONYMOUS","We must all appear before the Judgment Seat of Christ-----;","afterlife, proof of; free will; nature; Lee, Robert Edward; judgment;We must all appear before the Judgment Seat of Christ-----;",0,""
28,"","","235c","a00235c",235,"ASHBY, JAMES","Advent, On-----;","Advent, On-----;",0,""
29,"worldliness.;","worldliness;","38","a00038",38,"ASHBY, JAMES","Death, On-----;","worldliness;Death, On-----;",0,""
30,"death; repentance, deathbed.;","death; repentance, deathbed;","39","a00039",39,"ASHBY, JAMES","Death, On-----;","death; repentance, deathbed;Death, On-----;",0,""
31,"","","235d","a00235d",235,"ASHBY, JAMES","Death, On-----;","Death, On-----;",0,""
32,"goodness, divine.;","goodness, divine;","43","a00043",43,"ASHBY, JAMES","Divine goodness, On-----;","goodness, divine;Divine goodness, On-----;",0,""
33,"Beadnall, Rev. James; Walton, Rev. James.;","Beadnall, Rev. James; Walton, Rev. James;","44","a00044",44,"ASHBY, JAMES","Duty to God, On-----;","Beadnall, Rev. James; Walton, Rev. James;Duty to God, On-----;",0,""
34,"evil; forgiveness.;","evil; forgiveness;","41","a00041",41,"ASHBY, JAMES","Evil, On-----;","evil; forgiveness;Evil, On-----;",0,""
35,"death, preparation for; funeral sermon; mercy; time, use of.;","death, preparation for; funeral sermon; mercy; time, use of;","2","a00002",2,"ASHBY, JAMES","God's mercy, On-----;","death, preparation for; funeral sermon; mercy; time, use of;God's mercy, On-----;",0,""
36,"Beadnall, Rev. James; Darrell, William.;","Beadnall, Rev. James; Darrell, William;","235b","a00235b",235,"ASHBY, JAMES","Obedience to God, On-----;","Beadnall, Rev. James; Darrell, William;Obedience to God, On-----;",0,""
37,"Walton, Rev. James.;","Walton, Rev. James;","42","a00042",42,"ASHBY, JAMES","Resurrection, On the-----;","Walton, Rev. James;Resurrection, On the-----;",0,""
38,"Mary, Assumption of; Assumption of the Blessed Virgin; Blessed Virgin, Assumption of; Walton, Rev. James; Bourdaloue, Rev. Louis.;","Mary, Assumption of; Assumption of the Blessed Virgin; Blessed Virgin, Assumption of; Walton, Rev. James; Bourdaloue, Rev. Louis;","40","a00040",40,"ASHBY, JAMES","Virgin Mary, On the-----;","Mary, Assumption of; Assumption of the Blessed Virgin; Blessed Virgin, Assumption of; Walton, Rev. James; Bourdaloue, Rev. Louis;Virgin Mary, On the-----;",0,""
39,"pity; Clifton, Jacobus; Livers, Rev. Arnold; purgatory.;","pity; Clifton, Jacobus; Livers, Rev. Arnold; purgatory;","47","a00047",47,"ATTWOOD, PETER","All Souls' Day, On-----;","pity; Clifton, Jacobus; Livers, Rev. Arnold; purgatory;All Souls' Day, On-----;",0,""
40,"Virgin Mary; Blessed Virgin; Livers, Rev. Arnold.;","Virgin Mary; Blessed Virgin; Livers, Rev. Arnold;","45","a00045",45,"ATTWOOD, PETER","Annunciation, On the-----;","Virgin Mary; Blessed Virgin; Livers, Rev. Arnold;Annunciation, On the-----;",0,""
41,"Mary, Assumption of; Assumption of Mary; Livers, Rev. Arnold; Assumption of the Blessed Virgin; Blessed Virgin, Assumption of; beauty.;","Mary, Assumption of; Assumption of Mary; Livers, Rev. Arnold; Assumption of the Blessed Virgin; Blessed Virgin, Assumption of; beauty;","46","a00046",46,"ATTWOOD, PETER","Assumption of our Lady, On ye-----;","Mary, Assumption of; Assumption of Mary; Livers, Rev. Arnold; Assumption of the Blessed Virgin; Blessed Virgin, Assumption of; beauty;Assumption of our Lady, On ye-----;",0,""
42,"Clifton, Jacobus; Livers, Rev. Arnold.;","Clifton, Jacobus; Livers, Rev. Arnold;","50","a00050",50,"ATTWOOD, PETER","Conforming our will to God, On-----;","Clifton, Jacobus; Livers, Rev. Arnold;Conforming our will to God, On-----;",0,""
43,"repentance.;","repentance;","235f","a00235f",235,"ATTWOOD, PETER","Dangerous to live in sin-----;","repentance;Dangerous to live in sin-----;",0,""
44,"sin, effects of.;","sin, effects of;","235g","a00235g",235,"ATTWOOD, PETER","Effects of Sin, Ye-----;","sin, effects of;Effects of Sin, Ye-----;",0,""
45,"","","235e","a00235e",235,"ATTWOOD, PETER","Hope, Of-----;","Hope, Of-----;",0,""
46,"devotion; Mass, hearing; Clifton, Jacobus; Livers, Rev. Arnold;","devotion; Mass, hearing; Clifton, Jacobus; Livers, Rev. Arnold;","48","a00048",48,"ATTWOOD, PETER","How to hear mass w[it]h devotion-----;","devotion; Mass, hearing; Clifton, Jacobus; Livers, Rev. Arnold;How to hear mass w[it]h devotion-----;",0,""
47,"Livers, Rev. Arnold; ingratitude.;","Livers, Rev. Arnold; ingratitude;","235h","a00235h",235,"ATTWOOD, PETER","Human ingratitude-----;","Livers, Rev. Arnold; ingratitude;Human ingratitude-----;",0,""
48,"Mass, sacrifice of the; Clifton, Jacobus; Livers, Rev. Arnold.;","Mass, sacrifice of the; Clifton, Jacobus; Livers, Rev. Arnold;","49","a00049",49,"ATTWOOD, PETER","Sacrifice of Mass, Of ye-----;","Mass, sacrifice of the; Clifton, Jacobus; Livers, Rev. Arnold;Sacrifice of Mass, Of ye-----;",0,""
49,"Walton, Rev. James; Boarman, Rev. Sylvester.;","Walton, Rev. James; Boarman, Rev. Sylvester;","235j","a00235j",235,"BEADNALL, JAMES","All Saints-----;","Walton, Rev. James; Boarman, Rev. Sylvester;All Saints-----;",0,""
50,"Bourdaloue, Rev. Louis; Eucharist.;","Bourdaloue, Rev. Louis; Eucharist;","235i","a00235i",235,"BEADNALL, JAMES","Communion, On-----;","Bourdaloue, Rev. Louis; Eucharist;Communion, On-----;",0,""
51,"Lent; Morris, Rev. Peter; uncleanness.;","Lent; Morris, Rev. Peter; uncleanness;","4","a00004",4,"BEADNALL, JAMES ","Fornication and Uncleanness, On-----;","Lent; Morris, Rev. Peter; uncleanness;Fornication and Uncleanness, On-----;",0,""
52,"God, spirit of; world, spirit of; truth; Clifton, Jacobus; Livers, Rev. Arnold; worldliness, folly of.;","God, spirit of; world, spirit of; truth; Clifton, Jacobus; Livers, Rev. Arnold; worldliness, folly of;","51","a00051",51,"BEADNALL, JAMES","Holy Spirit, On the-----;","God, spirit of; world, spirit of; truth; Clifton, Jacobus; Livers, Rev. Arnold; worldliness, folly of;Holy Spirit, On the-----;",0,""
53,"duty, neglect of; sin, nature of; Bourdaloue, Rev. Louis; Lent.;","duty, neglect of; sin, nature of; Bourdaloue, Rev. Louis; Lent;","5 ","a00005 ",5,"BEADNALL, JAMES ","Neglecting small duties, On -----;","duty, neglect of; sin, nature of; Bourdaloue, Rev. Louis; Lent;Neglecting small duties, On -----;",0,""
54,"death, inevitability of; repentance.;","death, inevitability of; repentance;","53","a00053",53,"BEADNALL, JAMES","Patience of God, On the-----;","death, inevitability of; repentance;Patience of God, On the-----;",0,""
55,"Boarman, Rev. Sylvester; Bourdaloue, Rev. Louis.;","Boarman, Rev. Sylvester; Bourdaloue, Rev. Louis;","449","a00449",449,"BEADNALL, JAMES","Penance, On-----;","Boarman, Rev. Sylvester; Bourdaloue, Rev. Louis;Penance, On-----;",0,""
56,"","","235a","a00235a",235,"BEADNALL, JAMES","Resurrection, On the-----;","Resurrection, On the-----;",0,""
57,"soul, price of; worldliness, folly of.;","soul, price of; worldliness, folly of;","6 ","a00006 ",6,"BEADNALL, JAMES ","St. Ignatius' Feast, On -----;","soul, price of; worldliness, folly of;St. Ignatius' Feast, On -----;",0,""
58,"life, transitoriness of; time, use of; duty; La Colombiere, Rev. Claude de.;","life, transitoriness of; time, use of; duty; La Colombiere, Rev. Claude de;","3","a00003",3,"BEADNALL, JAMES ","Use of time, On the-----;","life, transitoriness of; time, use of; duty; La Colombiere, Rev. Claude de;Use of time, On the-----;",0,""
59,"time, use of; duty; La Colombiere, Rev. Claude de.;","time, use of; duty; La Colombiere, Rev. Claude de;","52","a00052",52,"BEADNALL, JAMES","Use of time, On the-----;","time, use of; duty; La Colombiere, Rev. Claude de;Use of time, On the-----;",0,""
60,"Lent; fasting; Colombiere, Rev. Claude de la.;","Lent; fasting; Colombiere, Rev. Claude de la;","450","a00450",450,"BEESTON, FRANCIS","Feast of Lent, On the-----;","Lent; fasting; Colombiere, Rev. Claude de la;Feast of Lent, On the-----;",0,""
61,"God, presence of.;","God, presence of;","235k","a00235k",235,"BEESTON, FRANCIS","Presence of God, On the-----;","God, presence of;Presence of God, On the-----;",0,""
62,"backsliding; Christ, sacrifice of; last judgment; worldliness.;","backsliding; Christ, sacrifice of; last judgment; worldliness;","1990","a01990",1990,"BEND, JOSEPH GROVE JOHN ","Light for the Righteous-----;","backsliding; Christ, sacrifice of; last judgment; worldliness;Light for the Righteous-----;",0,""
63,"Paine, Thomas; <i>Age of Reason, The</i>; worldliness; Bible, infallibility of.;","Paine, Thomas; <i>Age of Reason, The</i>; worldliness; Bible, infallibility of;","2028 ","a02028 ",2028,"BEND, JOSEPH GROVE JOHN ","Abiding in Christ-----;","Paine, Thomas; <i>Age of Reason, The</i>; worldliness; Bible, infallibility of;Abiding in Christ-----;",0,""
64,"Christ, crucifixion of; Christ, resurrection of; last judgment; Peter; Confucianism; Platonism; Christ, divinity of; Mohametans; good works, need for; faith; sin, forgotten; repentance, sincere.;","Christ, crucifixion of; Christ, resurrection of; last judgment; Peter; Confucianism; Platonism; Christ, divinity of; Mohametans; good works, need for; faith; sin, forgotten; repentance, sincere;","2107","a02107",2107,"BEND, JOSEPH GROVE JOHN","Abiding in Christ-----;","Christ, crucifixion of; Christ, resurrection of; last judgment; Peter; Confucianism; Platonism; Christ, divinity of; Mohametans; good works, need for; faith; sin, forgotten; repentance, sincere;Abiding in Christ-----;",0,""
65,"evil, appearance of; hypocrisy.;","evil, appearance of; hypocrisy;","1984 ","a01984 ",1984,"BEND, JOSEPH GROVE JOHN ","Abstaining from all appearance of evil -----;","evil, appearance of; hypocrisy;Abstaining from all appearance of evil -----;",0,""
66,"speech, abuses of; Golden Rule; Judgment Day.;","speech, abuses of; Golden Rule; Judgment Day;","1777","a01777",1777,"BEND, JOSEPH GROVE JOHN","Abuses of speech, On the-----;","speech, abuses of; Golden Rule; Judgment Day;Abuses of speech, On the-----;",0,""
67,"Holy Communion; soul, nature of the; Christ, presence of; heaven, preparation for; Bend, Joseph G. J., religious life of.;","Holy Communion; soul, nature of the; Christ, presence of; heaven, preparation for; Bend, Joseph G. J., religious life of;","2170","a02170",2170,"BEND, JOSEPH GROVE JOHN","Adapted to the Sacrament-----;","Holy Communion; soul, nature of the; Christ, presence of; heaven, preparation for; Bend, Joseph G. J., religious life of;Adapted to the Sacrament-----;",0,""
68,"simplicity, advantages of; godly sincerity, advantages of; hypocrisy, disadvantages of; piety, importance of; God, omniscience of.;","simplicity, advantages of; godly sincerity, advantages of; hypocrisy, disadvantages of; piety, importance of; God, omniscience of;","1771","a01771",1771,"BEND, JOSEPH GROVE JOHN","Advantages of simplicity & godly sincerity, On the-----;","simplicity, advantages of; godly sincerity, advantages of; hypocrisy, disadvantages of; piety, importance of; God, omniscience of;Advantages of simplicity & godly sincerity, On the-----;",0,""
69,"Anglican Church; Holy Communion; ignorance, religious; religion, ignorance of; Indians, conversion of; liturgy, Anglican.;","Anglican Church; Holy Communion; ignorance, religious; religion, ignorance of; Indians, conversion of; liturgy, Anglican;","1810","a01810",1810,"BEND, JOSEPH GROVE JOHN","Advent, For-----;","Anglican Church; Holy Communion; ignorance, religious; religion, ignorance of; Indians, conversion of; liturgy, Anglican;Advent, For-----;",0,""
70,"Jews, idolatry of; Jews, religious state of; Sadducees; Pharisees; religion, ancient.;","Jews, idolatry of; Jews, religious state of; Sadducees; Pharisees; religion, ancient;","1922","a01922",1922,"BEND, JOSEPH GROVE JOHN","Advent, For-----;","Jews, idolatry of; Jews, religious state of; Sadducees; Pharisees; religion, ancient;Advent, For-----;",0,""
71,"Haggai's prophecy; prophecy of Haggai; sermon, Advent; Holy Communion; Solomon, temple of.;","Haggai's prophecy; prophecy of Haggai; sermon, Advent; Holy Communion; Solomon, temple of;","2013 ","a02013 ",2013,"BEND, JOSEPH GROVE JOHN ","Advent. Haggai's prophecy -----;","Haggai's prophecy; prophecy of Haggai; sermon, Advent; Holy Communion; Solomon, temple of;Advent. Haggai's prophecy -----;",0,""
72,"providence; affliction, endurance of; prosperity, dangers of; charity; Louis XIV; Job; reason; resignation; sin, avoidance of.;","providence; affliction, endurance of; prosperity, dangers of; charity; Louis XIV; Job; reason; resignation; sin, avoidance of;","2149","a02149",2149,"BEND, JOSEPH GROVE JOHN","Affliction-----;","providence; affliction, endurance of; prosperity, dangers of; charity; Louis XIV; Job; reason; resignation; sin, avoidance of;Affliction-----;",0,""
73,"tribulations, preparation for; temptations of early Christians; Christians, temptations of early; Christ, imitation of; imitation of Christ; trials, necessity of; trials, limited by God; Joseph, trials of; martyrs, sufferings of; grace, triumph of.;","tribulations, preparation for; temptations of early Christians; Christians, temptations of early; Christ, imitation of; imitation of Christ; trials, necessity of; trials, limited by God; Joseph, trials of; martyrs, sufferings of; grace, triumph of;","2189","a02189",2189,"BEND, JOSEPH GROVE JOHN","Afflictions, No. 1-----;","tribulations, preparation for; temptations of early Christians; Christians, temptations of early; Christ, imitation of; imitation of Christ; trials, necessity of; trials, limited by God; Joseph, trials of; martyrs, sufferings of; grace, triumph of;Afflictions, No. 1-----;",0,""
74,"tribulations, preparation for; Paul, persecutions endured by; patience under afflictions; saints; resignation; afflictions, patience under.;","tribulations, preparation for; Paul, persecutions endured by; patience under afflictions; saints; resignation; afflictions, patience under;","2196","a02196",2196,"BEND, JOSEPH GROVE JOHN","Afflictions, No. 2-----;","tribulations, preparation for; Paul, persecutions endured by; patience under afflictions; saints; resignation; afflictions, patience under;Afflictions, No. 2-----;",0,""
75,"religion, attacks on; religion, attacked by U.S. press; freedom of the press; Christ, sufferings of; saints, suffering of; suffering, patience under; patience under afflictions; Paine, Thomas.;","religion, attacks on; religion, attacked by U.S. press; freedom of the press; Christ, sufferings of; saints, suffering of; suffering, patience under; patience under afflictions; Paine, Thomas;","2197","a02197",2197,"BEND, JOSEPH GROVE JOHN","Afflictions, No. 3-----;","religion, attacks on; religion, attacked by U.S. press; freedom of the press; Christ, sufferings of; saints, suffering of; suffering, patience under; patience under afflictions; Paine, Thomas;Afflictions, No. 3-----;",0,""
76,"discontent, habitual; worldliness; providence; duty of religious resignation; resignation, religious.;","discontent, habitual; worldliness; providence; duty of religious resignation; resignation, religious;","2144","a02144",2144,"BEND, JOSEPH GROVE JOHN","Against habitual Discontent-----;","discontent, habitual; worldliness; providence; duty of religious resignation; resignation, religious;Against habitual Discontent-----;",0,""
77,"worldliness; rich man, parable of; parable of the rich man; eternal life.;","worldliness; rich man, parable of; parable of the rich man; eternal life;","1909","a01909",1909,"BEND, JOSEPH GROVE JOHN","Against Love of ye World-----;","worldliness; rich man, parable of; parable of the rich man; eternal life;Against Love of ye World-----;",0,""
78,"worldliness; Sermon on the Mount; fasting; charity; self-love; last judgment; Hell; providence, distrust of; idleness.;","worldliness; Sermon on the Mount; fasting; charity; self-love; last judgment; Hell; providence, distrust of; idleness;","2089","a02089",2089,"BEND, JOSEPH GROVE JOHN","Against over-solicitous & inordinate concern for the World-----;","worldliness; Sermon on the Mount; fasting; charity; self-love; last judgment; Hell; providence, distrust of; idleness;Against over-solicitous & inordinate concern for the World-----;",0,""
79,"Sermon on the Mount; worldliness; Christ, confidence in; anxiety, inordinate; Mammon; treasure, heavenly.;","Sermon on the Mount; worldliness; Christ, confidence in; anxiety, inordinate; Mammon; treasure, heavenly;","2090","a02090",2090,"BEND, JOSEPH GROVE JOHN","Against over-solicitous & inordinate concern for this world-----;","Sermon on the Mount; worldliness; Christ, confidence in; anxiety, inordinate; Mammon; treasure, heavenly;Against over-solicitous & inordinate concern for this world-----;",0,""
80,"pleasure, immoderate pursuit of; mankind, depravity of; children, proper education of.;","pleasure, immoderate pursuit of; mankind, depravity of; children, proper education of;","1744","a01744",1744,"BEND, JOSEPH GROVE JOHN","Against the immoderate Pursuit of Pleasure-----;","pleasure, immoderate pursuit of; mankind, depravity of; children, proper education of;Against the immoderate Pursuit of Pleasure-----;",0,""
81,"theft, as result of poverty; wealth, blessings of; poverty, blessings of; moderation.;","theft, as result of poverty; wealth, blessings of; poverty, blessings of; moderation;","2038 ","a02038 ",2038,"BEND, JOSEPH GROVE JOHN ","Agur's petition -----;","theft, as result of poverty; wealth, blessings of; poverty, blessings of; moderation;Agur's petition -----;",0,""
82,"salvation, God's plan of; Messiah, promise of; New Covenant; Christ, blessings of; Advent sermon; sermon, Advent.;","salvation, God's plan of; Messiah, promise of; New Covenant; Christ, blessings of; Advent sermon; sermon, Advent;","2011 ","a02011 ",2011,"BEND, JOSEPH GROVE JOHN ","All nations of the earth blessed in the Seed of Abraham -----;","salvation, God's plan of; Messiah, promise of; New Covenant; Christ, blessings of; Advent sermon; sermon, Advent;All nations of the earth blessed in the Seed of Abraham -----;",0,""
83,"God, omnipotence of; Holy Communion.;","God, omnipotence of; Holy Communion;","1779","a01779",1779,"BEND, JOSEPH GROVE JOHN","Amazing bounty of God to man, On the-----;","God, omnipotence of; Holy Communion;Amazing bounty of God to man, On the-----;",0,""
84,"self-control; reason, vs. passion; malice.;","self-control; reason, vs. passion; malice;","2010 ","a02010 ",2010,"BEND, JOSEPH GROVE JOHN ","Anger -----;","self-control; reason, vs. passion; malice;Anger -----;",0,""
85,"Christian rebirth; rebirth, Christian; moderation; parents, training of children; Christian anger; forgiveness; Christ, imitation of; children, training by parents.;","Christian rebirth; rebirth, Christian; moderation; parents, training of children; Christian anger; forgiveness; Christ, imitation of; children, training by parents;","2174","a02174",2174,"BEND, JOSEPH GROVE JOHN","Anger without sinning, On-----;","Christian rebirth; rebirth, Christian; moderation; parents, training of children; Christian anger; forgiveness; Christ, imitation of; children, training by parents;Anger without sinning, On-----;",0,""
86,"miracles, argument from; Christianity, evidences of; Hume, David; Gamaliel; Judas, treachery of; Peter, denial of Christ.;","miracles, argument from; Christianity, evidences of; Hume, David; Gamaliel; Judas, treachery of; Peter, denial of Christ;","1832","a01832",1832,"BEND, JOSEPH GROVE JOHN","Argument from Miracles, The-----;","miracles, argument from; Christianity, evidences of; Hume, David; Gamaliel; Judas, treachery of; Peter, denial of Christ;Argument from Miracles, The-----;",0,""
87,"Christianity, evidences of; prophecy, argument from; Abraham; Moses; Exodus;","Christianity, evidences of; prophecy, argument from; Abraham; Moses; Exodus;","1831","a01831",1831,"BEND, JOSEPH GROVE JOHN","Argument from prophecy, The-----;","Christianity, evidences of; prophecy, argument from; Abraham; Moses; Exodus;Argument from prophecy, The-----;",0,""
88,"Christianity, evidences of; Christianity, effects of; Reformation; Holy Communion.;","Christianity, evidences of; Christianity, effects of; Reformation; Holy Communion;","1835","a01835",1835,"BEND, JOSEPH GROVE JOHN","Argument from the excellent effects of Xtianity, The-----;","Christianity, evidences of; Christianity, effects of; Reformation; Holy Communion;Argument from the excellent effects of Xtianity, The-----;",0,""
89,"Christianity, evidences of; Moses; Xenophon; Plato; Cicero; Seneca; Epictetus.;","Christianity, evidences of; Moses; Xenophon; Plato; Cicero; Seneca; Epictetus;","1834","a01834",1834,"BEND, JOSEPH GROVE JOHN","Argument from the excellent nature of Christianity, The-----;","Christianity, evidences of; Moses; Xenophon; Plato; Cicero; Seneca; Epictetus;Argument from the excellent nature of Christianity, The-----;",0,""
90,"Jesus, life and character of; Christianity, evidences of; Addison, Walter Dulany, ordination of; Cosden, Jeremiah, ordination of; ministers, duties of.;","Jesus, life and character of; Christianity, evidences of; Addison, Walter Dulany, ordination of; Cosden, Jeremiah, ordination of; ministers, duties of;","1833","a01833",1833,"BEND, JOSEPH GROVE JOHN","Argument from the Life & Character of Jesus, The-----;","Jesus, life and character of; Christianity, evidences of; Addison, Walter Dulany, ordination of; Cosden, Jeremiah, ordination of; ministers, duties of;Argument from the Life & Character of Jesus, The-----;",0,""
91,"crucifixion; resurrection; Holy Communion; Christ, resurrection of.;","crucifixion; resurrection; Holy Communion; Christ, resurrection of;","1892","a01892",1892,"BEND, JOSEPH GROVE JOHN","Ascension, For the-----;","crucifixion; resurrection; Holy Communion; Christ, resurrection of;Ascension, For the-----;",0,""
92,"Christ as mediator; Christ as king; Christ as priest; Christ as prophet; Christ, exaltation of; Christ, imitation of; Stephen, vision of; faith, importance of.;","Christ as mediator; Christ as king; Christ as priest; Christ as prophet; Christ, exaltation of; Christ, imitation of; Stephen, vision of; faith, importance of;","1842","a01842",1842,"BEND, JOSEPH GROVE JOHN","Ascension, On the-----;","Christ as mediator; Christ as king; Christ as priest; Christ as prophet; Christ, exaltation of; Christ, imitation of; Stephen, vision of; faith, importance of;Ascension, On the-----;",0,""
93,"self-reliance; predestination, a mistaken doctrine; God, impartiality of; enthusiasm, dangers of fanatic; faith, necessity of.;","self-reliance; predestination, a mistaken doctrine; God, impartiality of; enthusiasm, dangers of fanatic; faith, necessity of;","2065","a02065",2065,"BEND, JOSEPH GROVE JOHN","Asking for wisdom of God-----;","self-reliance; predestination, a mistaken doctrine; God, impartiality of; enthusiasm, dangers of fanatic; faith, necessity of;Asking for wisdom of God-----;",0,""
94,"Christ, atonement of; Easter sermon; repentance, necessity of; public worship, neglect of.;","Christ, atonement of; Easter sermon; repentance, necessity of; public worship, neglect of;","1899","a01899",1899,"BEND, JOSEPH GROVE JOHN","Atonement of Christ, The-----;","Christ, atonement of; Easter sermon; repentance, necessity of; public worship, neglect of;Atonement of Christ, The-----;",0,""
95,"Bible, style of; sinners, portrayed as sleepers; last judgment; parable of the talents; parable of the foolish virgins; repentance, true; Isaiah; talents, parable of; virgins, parable of the foolish.;","Bible, style of; sinners, portrayed as sleepers; last judgment; parable of the talents; parable of the foolish virgins; repentance, true; Isaiah; talents, parable of; virgins, parable of the foolish;","2155","a02155",2155,"BEND, JOSEPH GROVE JOHN","Awaking from sleep &c.-----;","Bible, style of; sinners, portrayed as sleepers; last judgment; parable of the talents; parable of the foolish virgins; repentance, true; Isaiah; talents, parable of; virgins, parable of the foolish;Awaking from sleep &c.-----;",0,""
