kpid,"kwd","acc"
81,"Apostles, mission of ","1758"
82,"Apostles, success of ","2126"
83,"Apostles, supernatural power of ","1758"
84,"Apostles, transformation of ","2143"
85,"Apostles, union with Christ ","3050"
86,"Apostles, wisdom of ","2143"
87,"apostolic succession ","2069"
88,"apparel, proper ","1978"
89,"Archer, Rev. James ","125, 417"
90,"Aristotle ","676, 1852, 2102"
91,"armor, Christian ","2093"
92,"Armstrong, Mrs. Isabella ","1870"
93,"Army, Continental ","4068"
94,"Asbury, Francis, ordination as superintendent ","548"
95,"Ascension of Christ ","383, 1024, 2087, 3013"
96,"Ash Wednesday ","468"
97,"assistance, divine ","3075, 4043"
98,"Assumption of Mary ","46, 185"
99,"Assumption of the Blessed Virgin ","40, 46"
100,"Assyrian Empire, destruction of ","4009"
101,"Athanasian Creed ","2177"
102,"atheism ","719, 1942, 1986, 2115, 2158, 2159, 3032, 4015"
103,"atheism, criticism of ","1995"
104,"atheism, perils of ","2019"
105,"atonement ","921, 2068, 2079, 2152"
106,"atonement, necessity of ","2096"
107,"atonement before God ","1661"
108,"atonement of Christ ","2178"
109,"Augustus, ended Roman Civil Wars ","2073"
110,"austerity, unnecessary ","2202"
111,"Austin, Mrs. Nancy ","648"
112,"authority, parental ","2105"
113,"authority, proper application of ","3138"
114,"authority of scripture ","3045"
115,"authority of the church ","113"
116,"avarice ","1821, 2125, 4024, 4067"
117,"Baal ","1942"
118,"Babin, Francis ","213"
119,"Babylonian captivity ","4009"
120,"backbiting ","1638"
121,"backsliding ","1990, 2037, 2064, 2134, 2152, 4009, 4046"
122,"Bacon ","1757"
123,"bad company ","1958, 2147"
124,"bad company, influence of ","2110"
125,"bad habits, power of ","1881"
126,"bad habits, removal of ","2156"
127,"bad seed ","203"
128,"Ball, David ","1778"
129,"Baltimore, Benevolent Society of the City and County of ","2180"
130,"Baltimore, Episcopal See of ","115, 116"
131,"Baptismal covenant ","1732, 3114, 4010, 4013, 4037, 4047"
132,"Baptism ","84, 210, 266, 985, 1747, 1785, 1791, 1804, 1901, 1954, 1983, 2173, 4010, 4013, 4014, 4017, 4021, 4031, 4037"
133,"Baptism, infant ","1791, 1804, 4010, 4014"
134,"Baptism, rites of ","4010"
135,"Baptism, those eligible for ","4010"
136,"Baptist Churches, Charleston Association of ","10"
137,"Barabbas ","2156, 2172"
138,"Barnabas ","2032"
139,"Barnwell, Peggy ","1030"
140,"Bartimeus, faith of ","2150"
141,"Bartimeus, healing of ","2150"
142,"Beadnall, Rev. James ","44, 235b, 312"
143,"Beatitudes ","55, 83, 384, 1989"
144,"Beatty ","2059"
145,"beauty ","46"
146,"belief ","148, 938, 4001, 4062"
147,"believers, true and righteous ","918"
148,"Belshazzar ","4032"
149,"Belshazzar, feast of ","2178"
150,"Bend, Joseph G. J., Federalist views of ","2183"
151,"Bend, Joseph G. J., religious life of ","2170"
152,"beneficial affliction ","3077"
153,"benefits of pleasing men ","3126a"
154,"Benjamin ","2096"
155,"Benton, Capt. Wm. ","4016"
156,"Berger, Alexander J ","718"
157,"Bethesda, pool of ","2023"
158,"Beveridge, Bishop ","4039"
159,"Bible ","2204, 3064"
160,"Bible, attentiveness to ","2161"
161,"Bible, authority of ","1993, 2167, 4011"
162,"Bible, authority of the ","1785"
163,"Bible, belief in ","2080, 2083"
164,"Bible, divine origin of ","2133, 4011"
165,"Bible, ignorance of ","2115"
166,"Bible, infallibility of ","2028"
167,"Bible, interpretation of ","1823"
168,"Bible, literal interpretation of qualified ","2031"
169,"Bible, misinterpretation of ","2108"
170,"Bible, necessity of reading ","1967"
171,"Bible, neglect of ","2050, 4011"
172,"Bible, purposes of ","2160"
173,"Bible, reading of ","2152"
174,"Bible, right reading of ","1884"
175,"Bible, study of ","2061, 2080, 2101, 2147, 3011, 3012"
176,"Bible, style of ","2155, 2171"
177,"Bible, translations of ","1993"
178,"Bible, truth of ","2100, 2187, 4011"
179,"Birdwell, Mr. ","4002"
180,"birth of Christ, celebration of ","3076"
181,"birth of Christ, meditation on ","3076"
182,"birth of Christ, proper influence on man ","3076"
183,"bishopric, establishment of ","1918"
184,"bishops ","2027"
185,"bishops, authority of ","2141"
186,"bishops, duties of ","115"
187,"bishops, necessity of ","2069"
188,"Bishop, office of ","2166"
189,"Bitouzey, Rev. Germain Barnabas ","68, 338"
190,"Blackstone ","1855"
191,"blacks, preached to ","1754"
192,"Black church, opened in Baltimore ","2116, 2119, 2126, 2133"
193,"Blair ","2059"
194,"Blair, John Durbarrow, sermons after 1800 ","667"
195,"Blair, John Durbarrow, sermon fragments ","667"
196,"Blake, Mrs. ","328"
197,"blasphemy ","169, 173, 175, 235n, 737, 4062"
198,"Blessed Virgin ","45, 63, 73, 1970, 3017"
199,"Blessed Virgin, Assumption of ","40, 46, 74, 82, 138, 185, 197, 249, 416"
200,"blessings ","4063"
201,"blessings, spiritual ","3783"
202,"Boarman, Rev. John ","58, 305, 306"
203,"Boarman, Rev. Sylvester ","54, 235j, 250, 256, 261, 269, 274, 276, 281, 290, 291, 442, 449, 458, 465"
204,"boasting in God, duty of ","3005"
205,"body, redemption of ","2111"
206,"body, resurrection of ","662, 2140"
207,"body and soul ","2008"
208,"body and soul, opposition of ","1982"
209,"body and soul, provision for ","2071"
210,"Bolingbroke, Lord ","676, 1827, 1855, 2021, 2059, 2080"
211,"Bolton, Rev. John ","233, 242, 296, 297, 309, 315, 316, 328, 1032"
212,"Book of Common Prayer ","926, 1828"
213,"Boone, Rev. John ","446"
214,"Bordley, Thomas, funeral of ","892"
215,"Bourdaloue, Rev. Louis ","5, 40, 75, 235i, 242, 243, 326, 449, 1033"
216,"Bourdley, Polly, funeral of ","95"
217,"Bowman [Bowrman? Bawnman?], Jane ","4062"
218,"Boyle ","1757, 1827, 1855"
219,"Bramble, Anne, funeral of ","91"
220,"Bra[ux or -cey], Marguaret ","213"
221,"bread ","4021"
222,"bread and wine, sacramental ","4047"
223,"bride, church as ","4029"
224,"Britain ","2160"
225,"Britain, at odds with U.S. ","2191"
226,"brotherly love ","874, 3100, 3111"
227,"Brow & Wife, Maj[o]r  ","4016"
228,"Buchanan, Mrs. James, funeral of ","1845"
229,"Burford, Captain Sr. ","4016"
230,"Burgoyne, Gen. John, surrender of ","2183"
231,"Burk, John, funeral of ","95"
232,"business, proper conduct of ","4067"
233,"Butler, Samuel ","1778"
234,"Caesar ","1855"
235,"Cain ","2110"
236,"Cain and Abel ","2178"
237,"calamities, acceptance of ","2208"
238,"calamities, purpose of ","2191"
239,"calamities as judgments from God ","2191"
240,"Calvary ","2172"
241,"Calvin, John ","56"
242,"Campbell ","1827, 2059"
243,"Canaanites ","2110"
244,"Canaan, conquest of ","2100"
245,"Cana, marriage feast of ","155, 217, 342, 1664, 1929, 3038"
246,"Cane, F. ","1030"
247,"canonical scripture ","3044"
248,"Canterbury, St. Thomas of ","336"
249,"Canticles, Book of ","4029"
250,"Carey, D. ","1032"
251,"Carey, Rachel, funeral of ","88"
252,"Carey, Sally, funeral of ","95"
253,"Carrington, Col. George, funeral of ","931"
254,"Carr, Elizabeth ","4061"
255,"Carr, Jon ","1"
256,"Carter, Priscilla ","915"
257,"Carter, Robert, funeral of ","915"
258,"Cassandra ","672"
259,"catechism ","4013, 4014, 4015, 4020, 4021, 4031, 4037, 4039, 4045"
260,"Catholicism, defeat of ","3064"
261,"Catholicism, opposition to ","3044, 3045, 3046, 3047"
262,"Catholic Church ","150"
263,"Catholic Church, criticism of ","1817, 1849, 1891, 1993, 2000, 2047, 4014, 4026"
264,"Catholic Church, persecution of ","118"
265,"Causse, Rev. John B. ","112, 113"
266,"Cavenaughs ","295"
267,"certainty of dissolution of the world ","3068"
268,"certainty of last judgment ","3122"
269,"certainty of salvation ","4006"
270,"chapel, dedication of ","63"
271,"chapel, opening of ","1669"
272,"Chapman, Nuthill ","1870"
273,"character, man's ","3041"
274,"charities, misuse of ","2014"
275,"charity ","156, 207, 210, 398, 421, 438, 470, 794, 874, 1770, 1790, 1793, 1795, 1802, 1811, 1823, 1846, 1911, 1944, 1947, 1961, 2029, 2033, 2036, 2039, 2043, 2046, 2049, 2054, 2061, 2063, 2071, 2078, 2079, 2089, 2094, 2095, 2105, 2120, 2137, 2149, 2165, 2166, 2171, 2179, 2181, 2184, 2190, 2198, 4006, 4006, 4017, 4022, 4066"
276,"charity, Christian ","330, 3030"
277,"charity, fraternal ","238"
278,"charity, fundamental Christian doctrine ","2130, 4042"
279,"charity, necessity of ","1766, 1859, 2082, 2094"
280,"charity, persuasion to ","1769"
281,"charity school ","2180"
282,"Charles I, execution of ","2066"
283,"chastisement ","4063"
284,"chastity ","1615, 1978, 4026"
285,"cheerfulness ","4016, 4018"
286,"cheerfulness, from obedience ","3022"
287,"cheer, good ","4016"
288,"Chew, Thomas John ","1778"
289,"children ","392, 969a, 969, 970, 971, 972, 974, 975, 1790"
290,"children, Christ's love for ","1802"
291,"children, discipline of ","160, 2099"
292,"children, duties of ","1784, 4031"
293,"children, duty towards ","156, 160, 192"
294,"children, duty to educate ","3037, 4010, 4031"
295,"children, duty to obey parents ","680"
296,"children, education of ","143, 2101, 2102, 4031"
297,"children, importance of to God ","934o"
298,"children, joy of ","3058"
299,"children, must obey parents ","1756"
300,"children, overindulgence of ","2105"
301,"children, parents' duties to ","1839, 2021, 4031"
302,"children, poor, duties to ","1841"
303,"children, proper education of ","1744"
304,"children, religious education of ","637, 649, 4031"
305,"children, teaching music to ","1897"
306,"children, training by parents ","2174, 4031"
307,"children of clergymen ","1944"
308,"Children of Light ","1673"
309,"chosen people ","2156, 4009, 4027"
310,"Christ's coming, preparation for ","1853"
311,"Christ's disciples ","3050"
312,"Christ's divinity denied ","1894"
313,"Christ's incarnation ","2074"
314,"Christ's influence ","3131"
315,"Christ's love ","3131"
316,"Christ's yoke, easiness of ","934rr"
317,"Christianity, based on reason ","2135"
318,"Christianity, benefits of accepting ","1923"
319,"Christianity, benefits of to the world ","2129"
320,"Christianity, consolations of ","2198"
321,"Christianity, conversion to ","2073"
322,"Christianity, damaged by schism ","2057"
323,"Christianity, decay of ","469, 682"
324,"Christianity, defense of ","2073"
325,"Christianity, different than Judaism ","4007"
326,"Christianity, effects of ","1835"
327,"Christianity, evidences of ","1827, 1830, 1831, 1832, 1833, 1834, 1835, 1836, 1855"
328,"Christianity, genuine ","2204"
329,"Christianity, growth of ","1926"
330,"Christianity, insincere ","2151"
331,"Christianity, legal support of ","2016"
332,"Christianity, objections to ","1853, 1855"
333,"Christianity, obligations of ","2026"
334,"Christianity, philosophy of ","676"
335,"Christianity, progress of ","1895, 2016, 2073"
336,"Christianity, proofs of ","1905"
337,"Christianity, rationalist approach to ","1928"
338,"Christianity, reasonableness of ","2062"
339,"Christianity, rejection of ","1923"
340,"Christianity, spread of ","2131"
341,"Christianity, success of ","1830"
342,"Christianity, truth of ","1830"
343,"Christians, community of ","476"
344,"Christians, complacent ","2014, 4043"
345,"Christians, courage of early ","2129"
346,"Christians, damned ","4046"
347,"Christians, degeneracy of ","2203"
348,"Christians, denominational differences ","2116"
349,"Christians, examples to ","934tt"
350,"Christians, fair-weather ","4038"
351,"Christians, idle ","2084"
352,"Christians, lukewarm ","306, 1942, 2195, 2205, 4038, 4042, 4043"
353,"Christians, obligations of ","2106, 2112"
354,"Christians, persecution of ","1787, 1789"
355,"Christians, persecution of by Jews ","2206"
356,"Christians, persecution of early ","2100"
357,"Christians, privileges of ","2108"
358,"Christians, sincere ","2163, 4042"
359,"Christians, temptations of early ","2189"
360,"Christians, treatment of early ","2202"
361,"Christian anger ","2174"
362,"Christian armor ","2093"
363,"Christian character ","1609, 4016"
364,"Christian charity ","3030"
365,"Christian Church, establishment of ","100"
366,"Christian comfort ","3048"
367,"Christian conduct ","2175, 2190"
368,"Christian conversation ","2085, 2179"
369,"Christian deportment ","2184"
370,"Christian dispensation ","2179"
371,"Christian doctrine ","3075"
372,"Christian duty ","1796, 1816, 1908, 1910, 2024, 2098, 2111, 2132, 3015, 3054, 3116, 4012, 4048"
373,"Christian education ","143, 2147, 4031"
374,"Christian faith ","3062, 3073, 4020"
375,"Christian hope ","3113"
376,"Christian indifference ","3058, 3064"
377,"Christian life ","3056"
378,"Christian life, living a ","3026, 3059, 3060, 3127, 4012"
379,"Christian life, obligations of ","100"
380,"Christian life, quality of ","1854"
381,"Christian martyrdom ","1789"
382,"Christian pleasure ","3111"
383,"Christian rebirth ","2174"
384,"Christian religion ","4046"
385,"Christian unity ","2078"
386,"Christian unity, benefit of ","3025"
387,"Christian virtue ","3089"
388,"Christmas ","64, 71, 921, 927, 3052, 3054, 4036"
389,"Christmas, sermon for ","927, 3052, 4035"
390,"Christ, acknowledgement of ","1868"
391,"Christ, actions of ","3073"
392,"Christ, ambassadors for ","791, 801"
393,"Christ, Ascension of ","334, 383, 679, 1024, 2087, 3013"
394,"Christ, atonement of ","1899, 2178"
395,"Christ, authority of ","1989"
396,"Christ, baptism of ","2173"
397,"Christ, belief in ","2101, 4049, 4064"
398,"Christ, betrayal of ","635"
399,"Christ, betrayal of by Judas ","3043"
400,"Christ, birth of ","86, 87, 94, 289, 290, 990, 1627, 2128, 3017, 4035"
401,"Christ, blessings of ","2011"
402,"Christ, blood of ","1635, 4010, 4021, 4039"
403,"Christ, body and blood of ","1006, 3020, 4047"
404,"Christ, body of ","96, 4021"
405,"Christ, burial of ","1020"
406,"Christ, character of ","676, 1812, 1813, 2071"
407,"Christ, church founded by ","2106"
408,"Christ, Church of ","3006, 4037"
409,"Christ, commission to the Apostles ","2151, 2152, 4047"
410,"Christ, commitment to ","991b, 4022, 4034"
411,"Christ, compassion of ","789, 2047"
412,"Christ, confidence in ","2090"
413,"Christ, contemplation of his sufferings ","477, 4016"
414,"Christ, crucifixion of ","106, 934w, 1617, 1651, 1727, 1986, 2107, 2139, 2165, 2187, 4019, 4026, 4032, 4041, 4044, 4049"
415,"Christ, David's prophecy of ","2177"
416,"Christ, death of ","1887, 1888, 1889, 4016, 4019, 4047, 4051, 4061"
417,"Christ, defended by Peter ","2187"
418,"Christ, denied by Peter ","2187"
419,"Christ, descent from David ","2127"
420,"Christ, dignity of ","2026, 4022"
421,"Christ, divine and human nature of ","1970, 2098, 4035"
422,"Christ, divine power of ","2139, 4003"
423,"Christ, divinity of ","633, 934a, 1794, 2096, 2107, 2128, 2129, 2151, 2205"
424,"Christ, dominion of ","2098"
425,"Christ, duty to imitate ","3125"
426,"Christ, emulation of ","3024, 4042"
427,"Christ, exaltation of ","1617, 1842"
428,"Christ, example of ","676, 1640, 3015"
429,"Christ, faith in ","642, 4012"
430,"Christ, fellowship with God through ","1658"
431,"Christ, forgiveness in ","1611"
432,"Christ, frequenting of synagogues ","2113"
433,"Christ, fulfillment of prophecy ","2165"
434,"Christ, healing power of ","1719, 1935"
435,"Christ, hour of ","664"
436,"Christ, humanity of ","2177"
437,"Christ, humiliation of ","1617"
438,"Christ, humility of ","1747, 4035"
439,"Christ, imitation of ","1842, 1906, 1910, 1935, 1963, 2030, 2042, 2050, 2070, 2071, 2081, 2104, 2106, 2135, 2136, 2165, 2174, 2189, 3015, 3024, 4022, 4025, 4048, 4064"
440,"Christ, incarnation of ","934y, 2106, 2152, 4035"
441,"Christ, intercession of ","1794, 4029"
442,"Christ, invitation of ","4029"
443,"Christ, Jesus ","59, 60, 241, 272"
444,"Christ, justification through ","1965, 4039, 4061"
445,"Christ, knowledge of ","991a, 991, 2185, 4041"
446,"Christ, life of ","2172, 4013"
447,"Christ, love for mankind ","4047"
448,"Christ, love of ","1614, 1615, 1620, 4016, 4029"
449,"Christ, man's savior ","1975"
450,"Christ, martyrdom of ","1785"
451,"Christ, mercy of ","2192, 2206, 4021, 4029"
452,"Christ, mildness of toward sinners ","2156"
453,"Christ, ministry of ","117"
454,"Christ, miracles of ","1787, 2127"
455,"Christ, moral system of ","676"
456,"Christ, mysteries of ","4046"
457,"Christ, mystical body of ","4061"
458,"Christ, mystical union with ","4029"
459,"Christ, name of ","3101, 4046"
460,"Christ, nativity of ","225, 4035"
461,"Christ, obedience of ","1026"
462,"Christ, obedience to ","1614, 1615"
463,"Christ, opposition to ","1923"
464,"Christ, pardon of sinners ","2068"
465,"Christ, Passion of ","200, 3131"
466,"Christ, passion of ","934w, 1023, 1951, 2139, 4019"
467,"Christ, persecution of ","1818"
468,"Christ, preaching of ","2127, 2152, 2186, 4047"
469,"Christ, preparation of the people of ","1618"
470,"Christ, prepared for ","1619"
471,"Christ, presence of ","2170"
472,"Christ, presence of in Eucharist ","162"
473,"Christ, proper expression of love for ","1620"
474,"Christ, prophecies of ","2071, 2172"
475,"Christ, prophecy of ","200, 2128"
476,"Christ, prudence of ","1885"
477,"Christ, qualities of ","2098, 4022, 4041"
478,"Christ, reconciliation to ","4045"
479,"Christ, remembrance of ","4047"
480,"Christ, resurrection of ","76, 106, 182, 934b, 1887, 1888, 1889, 1892, 1940, 1941, 1986, 1987, 2070, 2106, 2107, 2139, 2140, 2187, 3072, 4006, 4019, 4049"
481,"Christ, revelation of ","1787"
482,"Christ, roles of ","2098, 4037, 4041, 4066"
483,"Christ, sacrifice of ","127, 1990, 2085, 2106, 4019, 4021, 4035, 4041, 4044, 4047"
484,"Christ, salvation through ","926, 1635, 1823, 2114, 2172, 2185, 3131, 4004, 4005, 4006, 4012, 4013, 4026, 4027, 4028, 4029, 4031, 4034, 4035, 4036, 4037, 4041, 4042, 4043, 4046, 4047, 4048, 4049, 4061, 4063"
485,"Christ, scourging of ","423"
486,"Christ, second coming of ","161, 226, 643, 2085, 2106, 2179, 3003, 4034"
487,"Christ, sepulchre of ","2027"
488,"Christ, similarity to Moses ","2128"
489,"Christ, soldiers of ","988"
490,"Christ, son of God ","4035"
491,"Christ, special relationship with John ","2198"
492,"Christ, spirit of ","4061"
493,"Christ, sufferings of ","2026, 2197, 4007, 4016, 4019, 4041, 4048"
494,"Christ, sufferings of commemorated ","1659"
495,"Christ, teachings of ","2080, 4026"
496,"Christ, temptation of ","1632, 1882, 1937, 2136, 4013, 4016"
497,"Christ, virtues of ","1935"
498,"Christ, witnessing for ","2151"
499,"Christ, yoke of ","1928"
500,"Christ as advocate ","4022, 4041"
501,"Christ as advocate for sinners ","934cc"
502,"Christ as an example ","3124"
503,"Christ as Judge ","679"
504,"Christ as king ","1842, 4041"
505,"Christ as mediator ","679, 1807, 1842, 1965, 2047, 2127, 4014, 4022, 4041, 4047"
506,"Christ as Messiah ","1992, 4066"
507,"Christ as priest ","1842, 4041"
508,"Christ as prophet ","1842, 4041"
509,"Christ as redeemer ","809, 1651, 1740, 1800, 1807, 1819, 1956, 1958, 1977, 1980, 2003, 2026, 2054, 2055, 2129, 2139, 3007, 3783, 4029"
510,"Christ as savior ","2015, 2063, 2070, 2098, 2165, 4049"
511,"Christ as teacher ","676"
512,"Christ Church, Baltimore, choir instituted ","2201"
513,"Christ Church, Baltimore, consecration of ","2145"
514,"Christ Church, Baltimore, financing of ","2056"
515,"Christ compared to Moses ","1974"
516,"Christ prophesied ","1974, 1975"
517,"Churches, erection and preservation of ","2166"
518,"Church, constitution and order of ","10"
519,"Church, doctrine of ","4026"
520,"Church, duty to support ","2167"
521,"Church, Fathers of the ","4020"
522,"Church, founded by Christ ","2106"
523,"Church, history of ancient ","2046"
524,"Church, infallibility of ","187, 235t"
525,"Church, proper behavior in ","1815, 4023, 4046"
526,"church, proper behavior in ","2145"
527,"Church, role of ","1655"
528,"Church, support of the ","1981, 4024"
529,"Church, true ","381, 4037"
530,"Church, unity of ","2069, 4037"
531,"Church, visible ","4010"
532,"church and state, relationship of ","1809"
533,"church and state, separation of ","1973, 2016"
534,"church as bride ","4029"
535,"Church as one body ","4037"
536,"church as wife ","4029"
537,"church attendance, poor ","2115"
538,"church attendance for social reasons ","2168"
539,"Church Fathers ","1755"
540,"Church of Christ ","3006, 4010, 4029, 4037"
541,"Church of England ","3093"
542,"Church of England, loyalty to non-conformists ","3064"
543,"Cicero ","1827, 1834, 2072"
544,"circumcision ","939, 1910, 1983, 4010, 4017, 4020"
545,"Claggett, Bishop Thomas John ","882, 883, 1918, 1981, 2027, 2069, 2143, 2166"
546,"Claggett, Bishop Thomas John, duty to support ","2167"
547,"Claggett, Bishop Thomas John, parish support of ","2164"
548,"Clark, Sarah ","841"
549,"Clay, Mary Sen. ","4016"
550,"Clement XIII ","61"
551,"clergy, as examples ","2092"
552,"clergy, compensation of ","2069"
553,"clergy, corruption of ","842, 3093"
554,"clergy, duties of ","1752, 1770, 1778"
555,"clergy, financial support of ","2166"
556,"clergy, giving good example ","2071, 2166"
557,"clergy, orders of ","2141"
558,"clergy, respect for ","2085"
559,"clergy of St. Paul ","928"
560,"clerical orders, role of ","2141"
561,"Clerk, Ann ","841"
562,"Clifton, Jacobus ","47, 48, 49, 50, 51"
563,"Cobbett, William ","1973"
564,"Colegate, Mrs., funeral of ","1805"
565,"Colegate, Thomas, funeral of ","1845"
566,"Coleman, John ","911"
567,"Colombiere, Rev. Claude de la ","450"
568,"comfort, Christian ","3048"
569,"comfort, divine ","1850"
570,"commandments ","675, 1838, 4015, 4039"
571,"commandments, duty to obey ","2133"
572,"commandments, keeping ","2031, 4020"
573,"commandments, respect for ","1822, 2079"
574,"commandment, first ","268, 428"
575,"commandment, great ","98"
576,"commerce, foolish dependence on ","638"
577,"commitment ","367, 380"
578,"commitment to Christ ","991b"
579,"communicants, worthy ","1641"
580,"communion ","181, 205, 805, 998, 999, 1000, 1001, 1002, 1003, 1004, 1005, 1006, 1007, 1008, 1009, 1658, 1662, 1757, 1781, 1799, 1837, 3079"
581,"Communion, benefits of ","1773"
582,"Communion, fear of taking ","1760"
583,"communion, frequent ","178, 420"
584,"Communion, Holy ","1815, 1817"
585,"Communion, importance of ","1743, 1754, 1758, 1759, 1766, 4047"
586,"Communion, preparation for ","224, 237, 396, 3081"
587,"Communion, sacrament of ","96, 1655, 4021, 4047"
588,"communion, unworthy ","294"
589,"Communion office, excellency of ","3080"
590,"communion office of the Church ","3080"
591,"communion with God ","741"
592,"community, benefits of ","4009"
593,"community service ","2171, 4009"
594,"companions, influence of ","3071"
595,"company, bad ","3071"
596,"comparison of man with God's other creatures ","3090"
597,"comparison of man with God ","3090"
598,"compassion ","167, 2049, 2200"
599,"compassion of Christ ","789"
600,"Conception, Immaculate ","215, 215"
601,"concerts, evil of sabbath ","2056"
602,"concord, consequences of ","3094"
603,"concord, duty of community to maintain ","3094"
604,"concord, lack of ","3094"
605,"concord, necessity of ","3094"
606,"conduct, Christian ","3039, 3040"
607,"conduct, good ","1949"
608,"conduct, man's ","3041"
609,"confession ","258"
610,"confession, general ","1856, 1857"
611,"confession, method of ","1031"
612,"confirmation ","432, 926, 4014"
613,"confirmation, rite of ","1918, 1919"
614,"conflagration, final ","4036"
615,"Confucianism ","2107"
616,"congregational duty to communion office ","3080"
617,"congregation, duties of ","1856, 1857, 1858"
618,"conscience ","672, 917, 1850, 1893, 3029, 3109, 4018, 4022, 4023, 4027, 4034, 4064"
619,"conscience, authority of ","917"
620,"conscience, condemnation of ","2075"
621,"conscience, good ","170, 919, 934v, 2207, 4032, 4043"
622,"conscience, illumination of good ","919"
623,"conscience, on ","4005"
624,"conscience, powers of ","2184"
625,"Consecration of the Elements ","3079"
626,"consolation ","4061"
627,"consolation, sources of ","2085"
628,"consolation of religious music ","2201"
629,"Constantine, conquest of paganism ","2131"
630,"contentment ","780"
631,"contentment, a sign of virtue ","2207"
632,"Continental Army ","4068"
633,"Continental Congress ","4011"
634,"conversation, Christian ","1854, 2085, 2179"
635,"conversation, good ","1639, 1640, 4046"
636,"conversation, heavenly ","3026"
637,"conversion ","475, 937, 3031, 4008, 4066"
638,"conversion, sincere ","387"
639,"conversion, speedy ","270"
640,"Cook, Isabel ","4061"
641,"Cooper, Mrs., and child, funeral of ","1870"
642,"Corinthians ","4008"
643,"Corinth ","4038"
644,"Cornelius ","1877"
645,"Cornelius, character of ","2084"
646,"Cornwallis, surrender of ","2183"
647,"Corporation for the Relief of Widows and Children of Deceased Clergymen ","1769, 1790, 1944, 2164"
648,"Corpus Christi ","181, 237, 303"
649,"Corpus Christi, Feast of ","205, 260"
650,"corruption of the soul ","3113"
651,"Cosden, Jeremiah, ordination of ","1833"
652,"country, duty to ","3000"
653,"Covenant, Christian ","4037"
654,"Covenant, New ","2112, 4037, 4044"
655,"covenant of grace ","2177, 4010, 4013, 4014, 4017, 4021, 4027, 4028, 4031, 4035, 4036, 4037, 4041, 4044, 4063, 4066"
656,"covenant of works ","4016, 4028, 4037, 4066"
