p_index_int,"p_index_text",acc_int,"acc_tag","acc_txt","replaceText","namAut","shTitle"
19,"a00019",474,"_474_","a00474","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_474_','a00019') WHERE 1;","ANONYMOUS","Pride, On"
20,"a00020",475,"_475_","a00475","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_475_','a00020') WHERE 1;","ANONYMOUS","Regeneration and the Law of God"
21,"a00021",719,"_719_","a00719","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_719_','a00021') WHERE 1;","ANONYMOUS","Serious Advice not to---"
22,"a00022",916,"_916_","a00916","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_916_','a00022') WHERE 1;","ANONYMOUS","Sermons (1770) of an unidentified minister, Three"
23,"a00023",446,"_446_","a00446","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_446_','a00023') WHERE 1;","ANONYMOUS","Sin, On"
24,"a00024",913,"_913_","a00913","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_913_','a00024') WHERE 1;","ANONYMOUS","There is no peace saith my God to ye Wicked"
25,"a00025",918,"_918_","a00918","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_918_','a00025') WHERE 1;","ANONYMOUS","True and righteous believers"
26,"a00026",912,"_912_","a00912","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_912_','a00026') WHERE 1;","ANONYMOUS","Untitled Ms. Sermons 1686 and 1707"
27,"a00027",920,"_920_","a00920","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_920_','a00027') WHERE 1;","ANONYMOUS","We must all appear before the Judgment Seat of Christ"
28,"a00028",235,"_235c_","a00235c","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_235c_','a00028') WHERE 1;","ASHBY, JAMES","Advent, On"
29,"a00029",38,"_38_","a00038","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_38_','a00029') WHERE 1;","ASHBY, JAMES","Death, On"
30,"a00030",39,"_39_","a00039","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_39_','a00030') WHERE 1;","ASHBY, JAMES","Death, On"
31,"a00031",235,"_235d_","a00235d","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_235d_','a00031') WHERE 1;","ASHBY, JAMES","Death, On"
32,"a00032",43,"_43_","a00043","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_43_','a00032') WHERE 1;","ASHBY, JAMES","Divine goodness, On"
33,"a00033",44,"_44_","a00044","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_44_','a00033') WHERE 1;","ASHBY, JAMES","Duty to God, On"
34,"a00034",41,"_41_","a00041","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_41_','a00034') WHERE 1;","ASHBY, JAMES","Evil, On"
35,"a00035",2,"_2_","a00002","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_2_','a00035') WHERE 1;","ASHBY, JAMES","God's mercy, On"
36,"a00036",235,"_235b_","a00235b","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_235b_','a00036') WHERE 1;","ASHBY, JAMES","Obedience to God, On"
37,"a00037",42,"_42_","a00042","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_42_','a00037') WHERE 1;","ASHBY, JAMES","Resurrection, On the"
38,"a00038",40,"_40_","a00040","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_40_','a00038') WHERE 1;","ASHBY, JAMES","Virgin Mary, On the"
39,"a00039",47,"_47_","a00047","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_47_','a00039') WHERE 1;","ATTWOOD, PETER","All Souls' Day, On"
40,"a00040",45,"_45_","a00045","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_45_','a00040') WHERE 1;","ATTWOOD, PETER","Annunciation, On the"
41,"a00041",46,"_46_","a00046","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_46_','a00041') WHERE 1;","ATTWOOD, PETER","Assumption of our Lady, On ye"
42,"a00042",50,"_50_","a00050","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_50_','a00042') WHERE 1;","ATTWOOD, PETER","Conforming our will to God, On"
43,"a00043",235,"_235f_","a00235f","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_235f_','a00043') WHERE 1;","ATTWOOD, PETER","Dangerous to live in sin"
44,"a00044",235,"_235g_","a00235g","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_235g_','a00044') WHERE 1;","ATTWOOD, PETER","Effects of Sin, Ye"
45,"a00045",235,"_235e_","a00235e","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_235e_','a00045') WHERE 1;","ATTWOOD, PETER","Hope, Of"
46,"a00046",48,"_48_","a00048","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_48_','a00046') WHERE 1;","ATTWOOD, PETER","How to hear mass w[it]h devotion"
47,"a00047",235,"_235h_","a00235h","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_235h_','a00047') WHERE 1;","ATTWOOD, PETER","Human ingratitude"
48,"a00048",49,"_49_","a00049","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_49_','a00048') WHERE 1;","ATTWOOD, PETER","Sacrifice of Mass, Of ye"
49,"a00049",235,"_235j_","a00235j","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_235j_','a00049') WHERE 1;","BEADNALL, JAMES","All Saints"
50,"a00050",235,"_235i_","a00235i","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_235i_','a00050') WHERE 1;","BEADNALL, JAMES","Communion, On"
51,"a00051",4,"_4_","a00004","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_4_','a00051') WHERE 1;","BEADNALL, JAMES ","Fornication and Uncleanness, On"
52,"a00052",51,"_51_","a00051","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_51_','a00052') WHERE 1;","BEADNALL, JAMES","Holy Spirit, On the"
53,"a00053",5,"_5_","a00005 ","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_5_','a00053') WHERE 1;","BEADNALL, JAMES ","Neglecting small duties, On "
54,"a00054",53,"_53_","a00053","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_53_','a00054') WHERE 1;","BEADNALL, JAMES","Patience of God, On the"
55,"a00055",449,"_449_","a00449","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_449_','a00055') WHERE 1;","BEADNALL, JAMES","Penance, On"
56,"a00056",235,"_235a_","a00235a","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_235a_','a00056') WHERE 1;","BEADNALL, JAMES","Resurrection, On the"
57,"a00057",6,"_6_","a00006 ","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_6_','a00057') WHERE 1;","BEADNALL, JAMES ","St. Ignatius' Feast, On "
58,"a00058",3,"_3_","a00003","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_3_','a00058') WHERE 1;","BEADNALL, JAMES ","Use of time, On the"
59,"a00059",52,"_52_","a00052","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_52_','a00059') WHERE 1;","BEADNALL, JAMES","Use of time, On the"
60,"a00060",450,"_450_","a00450","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_450_','a00060') WHERE 1;","BEESTON, FRANCIS","Feast of Lent, On the"
61,"a00061",235,"_235k_","a00235k","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_235k_','a00061') WHERE 1;","BEESTON, FRANCIS","Presence of God, On the"
62,"a00062",1990,"_1990_","a01990","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_1990_','a00062') WHERE 1;","BEND, JOSEPH GROVE JOHN "," Light for the Righteous"
63,"a00063",2028,"_2028_","a02028 ","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_2028_','a00063') WHERE 1;","BEND, JOSEPH GROVE JOHN ","Abiding in Christ"
64,"a00064",2107,"_2107_","a02107","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_2107_','a00064') WHERE 1;","BEND, JOSEPH GROVE JOHN","Abiding in Christ"
65,"a00065",1984,"_1984_","a01984 ","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_1984_','a00065') WHERE 1;","BEND, JOSEPH GROVE JOHN ","Abstaining from all appearance of evil "
66,"a00066",1777,"_1777_","a01777","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_1777_','a00066') WHERE 1;","BEND, JOSEPH GROVE JOHN","Abuses of speech, On the"
67,"a00067",2170,"_2170_","a02170","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_2170_','a00067') WHERE 1;","BEND, JOSEPH GROVE JOHN","Adapted to the Sacrament"
68,"a00068",1771,"_1771_","a01771","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_1771_','a00068') WHERE 1;","BEND, JOSEPH GROVE JOHN","Advantages of simplicity & godly sincerity, On the"
69,"a00069",1810,"_1810_","a01810","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_1810_','a00069') WHERE 1;","BEND, JOSEPH GROVE JOHN","Advent, For"
70,"a00070",1922,"_1922_","a01922","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_1922_','a00070') WHERE 1;","BEND, JOSEPH GROVE JOHN","Advent, For"
71,"a00071",2013,"_2013_","a02013 ","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_2013_','a00071') WHERE 1;","BEND, JOSEPH GROVE JOHN ","Advent. Haggai's prophecy "
72,"a00072",2149,"_2149_","a02149","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_2149_','a00072') WHERE 1;","BEND, JOSEPH GROVE JOHN","Affliction"
73,"a00073",2189,"_2189_","a02189","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_2189_','a00073') WHERE 1;","BEND, JOSEPH GROVE JOHN","Afflictions, No. 1"
74,"a00074",2196,"_2196_","a02196","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_2196_','a00074') WHERE 1;","BEND, JOSEPH GROVE JOHN","Afflictions, No. 2"
75,"a00075",2197,"_2197_","a02197","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_2197_','a00075') WHERE 1;","BEND, JOSEPH GROVE JOHN","Afflictions, No. 3"
76,"a00076",2144,"_2144_","a02144","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_2144_','a00076') WHERE 1;","BEND, JOSEPH GROVE JOHN","Against habitual Discontent"
77,"a00077",1909,"_1909_","a01909","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_1909_','a00077') WHERE 1;","BEND, JOSEPH GROVE JOHN","Against Love of ye World"
78,"a00078",2089,"_2089_","a02089","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_2089_','a00078') WHERE 1;","BEND, JOSEPH GROVE JOHN","Against over-solicitous & inordinate concern for the World"
79,"a00079",2090,"_2090_","a02090","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_2090_','a00079') WHERE 1;","BEND, JOSEPH GROVE JOHN","Against over-solicitous & inordinate concern for this world"
80,"a00080",1744,"_1744_","a01744","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_1744_','a00080') WHERE 1;","BEND, JOSEPH GROVE JOHN","Against the immoderate Pursuit of Pleasure"
81,"a00081",2038,"_2038_","a02038 ","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_2038_','a00081') WHERE 1;","BEND, JOSEPH GROVE JOHN ","Agur's petition "
82,"a00082",2011,"_2011_","a02011 ","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_2011_','a00082') WHERE 1;","BEND, JOSEPH GROVE JOHN ","All nations of the earth blessed in the Seed of Abraham "
83,"a00083",1779,"_1779_","a01779","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_1779_','a00083') WHERE 1;","BEND, JOSEPH GROVE JOHN","Amazing bounty of God to man, On the"
84,"a00084",2010,"_2010_","a02010 ","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_2010_','a00084') WHERE 1;","BEND, JOSEPH GROVE JOHN ","Anger "
85,"a00085",2174,"_2174_","a02174","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_2174_','a00085') WHERE 1;","BEND, JOSEPH GROVE JOHN","Anger without sinning, On"
86,"a00086",1832,"_1832_","a01832","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_1832_','a00086') WHERE 1;","BEND, JOSEPH GROVE JOHN","Argument from Miracles, The"
87,"a00087",1831,"_1831_","a01831","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_1831_','a00087') WHERE 1;","BEND, JOSEPH GROVE JOHN","Argument from prophecy, The"
88,"a00088",1835,"_1835_","a01835","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_1835_','a00088') WHERE 1;","BEND, JOSEPH GROVE JOHN","Argument from the excellent effects of Xtianity, The"
89,"a00089",1834,"_1834_","a01834","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_1834_','a00089') WHERE 1;","BEND, JOSEPH GROVE JOHN","Argument from the excellent nature of Christianity, The"
90,"a00090",1833,"_1833_","a01833","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_1833_','a00090') WHERE 1;","BEND, JOSEPH GROVE JOHN","Argument from the Life & Character of Jesus, The"
91,"a00091",1892,"_1892_","a01892","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_1892_','a00091') WHERE 1;","BEND, JOSEPH GROVE JOHN","Ascension, For the"
92,"a00092",1842,"_1842_","a01842","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_1842_','a00092') WHERE 1;","BEND, JOSEPH GROVE JOHN","Ascension, On the"
93,"a00093",2065,"_2065_","a02065","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_2065_','a00093') WHERE 1;","BEND, JOSEPH GROVE JOHN","Asking for wisdom of God"
94,"a00094",1899,"_1899_","a01899","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_1899_','a00094') WHERE 1;","BEND, JOSEPH GROVE JOHN","Atonement of Christ, The"
95,"a00095",2155,"_2155_","a02155","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_2155_','a00095') WHERE 1;","BEND, JOSEPH GROVE JOHN","Awaking from sleep &c."
96,"a00096",1958,"_1958_","a01958 ","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_1958_','a00096') WHERE 1;","BEND, JOSEPH GROVE JOHN ","Backsliding "
97,"a00097",1791,"_1791_","a01791","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_1791_','a00097') WHERE 1;","BEND, JOSEPH GROVE JOHN","Baptism, On"
98,"a00098",1804,"_1804_","a01804","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_1804_','a00098') WHERE 1;","BEND, JOSEPH GROVE JOHN","Baptism, On"
99,"a00099",2024,"_2024_","a02024 ","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_2024_','a00099') WHERE 1;","BEND, JOSEPH GROVE JOHN ","Be not overmuch wicked "
100,"a00100",2064,"_2064_","a02064","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_2064_','a00100') WHERE 1;","BEND, JOSEPH GROVE JOHN","Be not weary in well-doing"
101,"a00101",1887,"_1887_","a01887","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_1887_','a00101') WHERE 1;","BEND, JOSEPH GROVE JOHN","Before or after Easter. Nature, ends & effects of the Death of Christ"
102,"a00102",2119,"_2119_","a02119","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_2119_','a00102') WHERE 1;","BEND, JOSEPH GROVE JOHN","Being of a God, On the"
103,"a00103",1944,"_1944_","a01944 ","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_1944_','a00103') WHERE 1;","BEND, JOSEPH GROVE JOHN ","Benefit of the Corporation, For the "
104,"a00104",1891,"_1891_","a01891","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_1891_','a00104') WHERE 1;","BEND, JOSEPH GROVE JOHN","Best Christians unprofitable servants, The"
105,"a00105",1975,"_1975_","a01975 ","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_1975_','a00105') WHERE 1;","BEND, JOSEPH GROVE JOHN ","Binding up of the broken-hearted "
106,"a00106",2069,"_2069_","a02069","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_2069_','a00106') WHERE 1;","BEND, JOSEPH GROVE JOHN","Bishop, For the"
107,"a00107",2164,"_2164_","a02164","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_2164_','a00107') WHERE 1;","BEND, JOSEPH GROVE JOHN","Bishop, For the"
108,"a00108",1894,"_1894_","a01894","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_1894_','a00108') WHERE 1;","BEND, JOSEPH GROVE JOHN","Blasphemy against the Holy Ghost"
109,"a00109",1967,"_1967_","a01967 ","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_1967_','a00109') WHERE 1;","BEND, JOSEPH GROVE JOHN ","Blessedness described in the first psalm, The "
110,"a00110",2150,"_2150_","a02150","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_2150_','a00110') WHERE 1;","BEND, JOSEPH GROVE JOHN","Blind Bartimeus"
111,"a00111",2153,"_2153_","a02153","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_2153_','a00111') WHERE 1;","BEND, JOSEPH GROVE JOHN","Boast not of tomorrow"
112,"a00112",1948,"_1948_","a01948 ","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_1948_','a00112') WHERE 1;","BEND, JOSEPH GROVE JOHN ","Both faith and works necessary to Salvation; "
113,"a00113",2175,"_2175_","a02175","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_2175_','a00113') WHERE 1;","BEND, JOSEPH GROVE JOHN","Candid expostulation with those, who trespass against us"
114,"a00114",1930,"_1930_","a01930 ","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_1930_','a00114') WHERE 1;","BEND, JOSEPH GROVE JOHN ","Care in hearing the Word"
115,"a00115",2156,"_2156_","a02156","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_2156_','a00115') WHERE 1;","BEND, JOSEPH GROVE JOHN","Case of the penitent thief, The"
116,"a00116",1750,"_1750_","a01750","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_1750_','a00116') WHERE 1;","BEND, JOSEPH GROVE JOHN","Caution against falling from Grace"
117,"a00117",2037,"_2037_","a02037 ","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_2037_','a00117') WHERE 1;","BEND, JOSEPH GROVE JOHN ","Ceasing to do evil "
118,"a00118",2049,"_2049_","a02049 ","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_2049_','a00118') WHERE 1;","BEND, JOSEPH GROVE JOHN ","Centurion's petition for his sick servant, The"
119,"a00119",1774,"_1774_","a01774","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_1774_','a00119') WHERE 1;","BEND, JOSEPH GROVE JOHN","Certainty of future happiness, On the"
120,"a00120",2152,"_2152_","a02152","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_2152_','a00120') WHERE 1;","BEND, JOSEPH GROVE JOHN","Character & errand of Ministers"
121,"a00121",2032,"_2032_","a02032 ","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_2032_','a00121') WHERE 1;","BEND, JOSEPH GROVE JOHN ","Character of a profitable resolution to amend "
122,"a00122",2084,"_2084_","a02084","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_2084_','a00122') WHERE 1;","BEND, JOSEPH GROVE JOHN","Character of Cornelius, The"
123,"a00123",2130,"_2130_","a02130","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_2130_','a00123') WHERE 1;","BEND, JOSEPH GROVE JOHN","Character of St Paul, On the"
124,"a00124",1880,"_1880_","a01880","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_1880_','a00124') WHERE 1;","BEND, JOSEPH GROVE JOHN","Charity, --as defined by St Paul"
125,"a00125",1977,"_1977_","a01977 ","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_1977_','a00125') WHERE 1;","BEND, JOSEPH GROVE JOHN ","Christ a propitiation for the sins of the world "
126,"a00126",2062,"_2062_","a02062","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_2062_','a00126') WHERE 1;","BEND, JOSEPH GROVE JOHN","Christ the salvation of the end of the earth"
127,"a00127",1742,"_1742_","a01742","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_1742_','a00127') WHERE 1;","BEND, JOSEPH GROVE JOHN","Christ's Invitation to penitent Sinners"
128,"a00128",1987,"_1987_","a01987 ","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_1987_','a00128') WHERE 1;","BEND, JOSEPH GROVE JOHN ","Christ's reanimated body not imaginary, but real "
129,"a00129",1878,"_1878_","a01878","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_1878_','a00129') WHERE 1;","BEND, JOSEPH GROVE JOHN","Christian Race, The"
130,"a00130",1903,"_1903_","a01903","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_1903_','a00130') WHERE 1;","BEND, JOSEPH GROVE JOHN","Christian Sacrifice, The"
131,"a00131",1907,"_1907_","a01907","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_1907_','a00131') WHERE 1;","BEND, JOSEPH GROVE JOHN","Christian Salvation"
132,"a00132",2030,"_2030_","a02030 ","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_2030_','a00132') WHERE 1;","BEND, JOSEPH GROVE JOHN ","Christian Salvation a deliverance from Sin "
133,"a00133",2182,"_2182_","a02182","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_2182_','a00133') WHERE 1;","BEND, JOSEPH GROVE JOHN","Christianity a spring of spiritual joy"
134,"a00134",1959,"_1959_","a01959 ","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_1959_','a00134') WHERE 1;","BEND, JOSEPH GROVE JOHN ","Christianity vindicated "
135,"a00135",2061,"_2061_","a02061","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_2061_','a00135') WHERE 1;","BEND, JOSEPH GROVE JOHN","Christmas Religion & Joy compatible, About"
136,"a00136",1793,"_1793_","a01793","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_1793_','a00136') WHERE 1;","BEND, JOSEPH GROVE JOHN","Christmas, For"
137,"a00137",1970,"_1970_","a01970 ","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_1970_','a00137') WHERE 1;","BEND, JOSEPH GROVE JOHN ","Christmas, For "
138,"a00138",2127,"_2127_","a02127","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_2127_','a00138') WHERE 1;","BEND, JOSEPH GROVE JOHN","Christmas, For"
139,"a00139",2201,"_2201_","a02201","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_2201_','a00139') WHERE 1;","BEND, JOSEPH GROVE JOHN","Church Musick"
140,"a00140",2085,"_2085_","a02085","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_2085_','a00140') WHERE 1;","BEND, JOSEPH GROVE JOHN","Comforting & edifying one another"
141,"a00141",2017,"_2017_","a02017 ","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_2017_','a00141') WHERE 1;","BEND, JOSEPH GROVE JOHN ","Concerning the law of Moses "
