kpid,"kwst","pind_list"
422,"charity, Christian","a01260,a00929"
423,"charity, fraternal","a01067"
424,"charity, fundamental Christian doctrine","a00123,a00730"
425,"charity, necessity of","a00517,a00325,a00258,a00236"
426,"\"Charity, On\"","a01273,a01274,a01204"
427,"charity, persuasion to","a00384"
428,"\"Charity: John the Apostle\"","a00638"
429,"\"Charity: Mark, VIII, 2\"","a00639"
430,"\"Charity: The Neighbor\"","a00640"
431,"\"Charity of Baltimore, The\"","a00637"
432,"charity school","a00205"
433,"\"Charity to one's enemies, On\"","a01160"
434,"Charles I, execution of","a00476"
435,"Charlottesville","a00744"
436,"chastisement","a01613,a01083"
437,"chastity","a01507,a00267,a00724"
438,"cheer, good","a00754"
439,"cheerfulness","a00994,a00754,a00729"
440,"cheerfulness, from obedience","a00934"
441,"Chew, Thomas John","a00176"
442,"children","a01391,a01362,a01362,a01364,a01374,a01375,a01371,a01372,a00385"
443,"children, Christ's love for","a00229"
444,"children, discipline of","a00649,a00193"
445,"children, duties of","a00374,a00715"
446,"children, duty to educate","a00938,a00707,a00715"
447,"children, duty to obey parents","a01216,a00209"
448,"children, duty towards","a00673,a00649,a01009"
449,"children, education of","a00635,a00349,a00498,a00715"
450,"children, importance of to God","a01315"
451,"children, joy of","a00898"
452,"\"Children, obey your Parents in the Lord\"","a01216"
453,"children, overindulgence of","a00194"
454,"children, parents' duties to","a00177,a00445,a00715"
455,"children, poor, duties to","a00230"
456,"children, proper education of","a00080"
457,"children, religious education of","a00559,a00539,a00715"
458,"children, teaching music to","a00397"
459,"children, training by parents","a00085,a00715"
460,"children of clergymen","a00103"
461,"Children of Light","a01588"
462,"\"Children of Light instructed how to walk, The\"","a01157"
463,"chosen people","a00115,a00749,a00753"
464,"Christ's coming, preparation for","a00363"
465,"\"Christ's Crucifixion, Of\"","a01321"
466,"Christ's disciples","a00983"
467,"Christ's divinity denied","a00108"
468,"Christ's incarnation","a00420"
469,"Christ's influence","a00928"
470,"\"Christ's Invitation to penitent Sinners\"","a00127"
471,"Christ's love","a01419,a00928"
472,"\"Christ's Love for the Church\"","a00713"
473,"\"Christ's Passion, Of\"","a01322"
474,"\"Christ's Preaching to Spirits, On\"","a00856"
475,"\"Christ's propitiation, Of\"","a01323"
476,"\"Christ's reanimated body not imaginary, but real \"","a00128"
477,"\"Christ's Resurrection, Of\"","a01324"
478,"Christ's yoke, easiness of","a01327,a01357,a01235"
479,"Christ, acknowledgement of","a00200"
480,"Christ, actions of","a00924"
481,"Christ, ambassadors for","a00788,a00824"
482,"Christ, Ascension of","a01259,a01384,a01222,a01058,a00211,a00843"
483,"Christ, atonement of","a00094,a00411"
484,"Christ, authority of","a00332"
485,"Christ, baptism of","a00458"
486,"Christ, belief in","a01645,a00349,a00732,a01087"
487,"Christ, betrayal of","a00547"
488,"Christ, betrayal of by Judas","a00850"
489,"Christ, birth of","a00609,a00610,a00611,a01165,a01164,a00994,a01100,a01503,a00401,a00916,a00716"
490,"Christ, blessings of","a00082"
491,"Christ, blood of","a01518,a00707,a00711,a00743"
492,"Christ, body and blood of","a01186,a00927,a00720"
493,"Christ, body of","a00606,a00711"
494,"Christ, burial of","a01054"
495,"Christ, character of","a01219,a00404,a00395,a00324"
496,"Christ, church founded by","a00191"
497,"Christ, Church of","a00935,a00714"
498,"Christ, commission to the Apostles","a00143,a00120,a00720"
499,"Christ, commitment to","a01099,a00735,a00709"
500,"Christ, compassion of","a00835,a01599,a01600,a00417"
501,"Christ, confidence in","a00079"
502,"Christ, contemplation of his sufferings","a00629,a00754"
503,"Christ, crucifixion of","a00634,a01071,a01321,a01501,a01530,a01635,a00189,a00064,a00192,a00237,a00457,a00728,a00724,a00727,a00712,a00741,a00732"
504,"Christ, David's prophecy of","a00168"
505,"Christ, death of","a00101,a00254,a00187,a00754,a00728,a00720,a00740,a01086"
506,"Christ, defended by Peter","a00457"
507,"Christ, denied by Peter","a00457"
508,"Christ, descent from David","a00138"
509,"Christ, dignity of","a00448,a00735"
510,"Christ, divine and human nature of","a00137,a00301,a00716"
511,"Christ, divine power of","a00192,a00738"
512,"Christ, divinity of","a00537,a01356,a01591,a00298,a00206,a00064,a00401,a00263,a00143,a00159"
513,"Christ, dominion of","a00301"
514,"Christ, duty to imitate","a00915"
515,"Christ, emulation of","a01644,a00860,a00730"
516,"Christ, exaltation of","a01501,a00092"
517,"Christ, example of","a01219,a01510,a01644,a00918"
518,"Christ, faith in","a00534,a01645,a00734"
519,"Christ, fellowship with God through","a01494"
520,"Christ, forgiveness in","a01519"
521,"Christ, frequenting of synagogues","a00331"
522,"Christ, fulfillment of prophecy","a00237"
523,"Christ, healing power of","a01606,a00296"
524,"Christ, hour of","a00546"
525,"Christ, humanity of","a00168"
526,"Christ, humiliation of","a01501"
527,"Christ, humility of","a00251,a00716"
528,"Christ, imitation of","a01357,a01644,a00092,a00400,a00158,a00296,a00234,a00132,a00460,a00502,a00322,a00324,a00386,a00437,a00191,a00371,a00317,a00237,a00085,a00073,a00918,a00860,a00735,a00759,a00726,a01087"
529,"Christ, incarnation of","a01346,a00191,a00120,a00716"
530,"Christ, intercession of","a00298,a00713"
531,"Christ, invitation of","a00713"
532,"Christ, Jesus","a00579,a00589,a01080,a01130"
533,"Christ, justification through","a00314,a00743,a01086"
534,"Christ, knowledge of","a01102,a01097,a00210,a00712"
535,"Christ, life of","a00255,a00748"
536,"Christ, love for mankind","a01599,a01600,a00720"
537,"Christ, love of","a00820,a00785,a00784,a01534,a01507,a01502,a00754,a00713"
538,"Christ, man's savior","a00105"
539,"Christ, martyrdom of","a00430"
540,"Christ, mercy of","a01572,a01580,a00456,a00523,a00711,a00713"
541,"Christ, mildness of toward sinners","a00115"
542,"Christ, ministry of","a00643"
543,"Christ, miracles of","a00484,a00138"
544,"Christ, moral system of","a01219"
545,"Christ, mysteries of","a00736"
546,"Christ, mystical body of","a01319,a01086"
547,"Christ, mystical union with","a00713"
548,"Christ, name of","a00845,a00736"
549,"Christ, nativity of","a01448,a00716"
550,"Christ, obedience of","a01055"
551,"Christ, obedience to","a01534,a01507"
552,"Christ, opposition to","a00224"
553,"Christ, pardon of sinners","a00413"
554,"Christ, passion of","a01038,a01321,a01057,a00414,a00192,a00928,a00728"
555,"Christ, persecution of","a00253"
556,"Christ, preaching of","a00138,a00120,a00465,a00720"
557,"Christ, preparation of the people of","a01538"
558,"Christ, prepared for","a01509"
559,"Christ, presence of","a00067"
560,"Christ, presence of in Eucharist","a00652"
561,"Christ, proper expression of love for","a01502"
562,"Christ, prophecies of","a00324,a00255"
563,"Christ, prophecy of","a01038,a00401"
564,"Christ, prudence of","a00378"
565,"Christ, qualities of","a00301,a00735,a00712"
566,"Christ, reconciliation to","a00737"
567,"Christ, remembrance of","a01599,a01600,a00720"
568,"Christ, resurrection of","a00618,a00634,a01026,a01266,a01352,a01580,a00101,a00254,a00187,a00091,a00281,a00282,a00189,a00128,a00322,a00191,a00064,a00192,a00418,a00457,a00961,a00758,a00728,a00732"
569,"Christ, revelation of","a00484"
570,"Christ, roles of","a00301,a00714,a00712,a01089"
571,"Christ, sacrifice of","a00653,a00062,a00140,a00191,a00728,a00711,a00716,a00712,a00741,a00720"
572,"Christ, salvation through","a00764,a01040,a00993,a01344,a01419,a01518,a01630,a01642,a01612,a01645,a01602,a01640,a00215,a00369,a00255,a00210,a00928,a00706,a00722,a00758,a00734,a00748,a00724,a00753,a00723,a00713,a00715,a00709,a00716,a00721,a00714,a00712,a00730,a00742,a00736,a00720,a00726,a00732,a01086,a01083"
573,"Christ, scourging of","a01490"
574,"Christ, second coming of","a00669,a01444,a00560,a00140,a00191,a00164,a00869,a00709"
575,"Christ, sepulchre of","a00190"
576,"Christ, similarity to Moses","a00401"
577,"Christ, soldiers of","a01098"
578,"Christ, son of God","a00716"
579,"Christ, special relationship with John","a00231"
580,"Christ, spirit of","a01086"
581,"Christ, sufferings of","a00448,a00075,a00719,a00754,a00728,a00712,a00726"
582,"Christ, sufferings of commemorated","a01495"
583,"Christ, teachings of","a00375,a00724"
584,"Christ, temptation of","a01541,a00468,a00467,a00317,a00748,a00754"
585,"Christ, transfiguration of","a01305"
586,"Christ, virtues of","a00296"
587,"Christ, witnessing for","a00143"
588,"Christ, yoke of","a00521"
589,"\"Christ a propitiation for the sins of the world \"","a00125"
590,"Christ as advocate","a00735,a00712"
591,"Christ as advocate for sinners","a01323"
592,"Christ as an example","a00989"
593,"Christ as Judge","a01222"
594,"Christ as king","a00092,a00712"
595,"Christ as Lord","a01056"
