"kwd","acc"
"Beatty ","2059"
"beauty ","46"
"belief ","148, 938, 4001, 4062"
"believers, true and righteous ","918"
"Belshazzar ","4032"
"Belshazzar, feast of ","2178"
"Bend, Joseph G. J., Federalist views of ","2183"
"Bend, Joseph G. J., religious life of ","2170"
"beneficial affliction ","3077"
"benefits of pleasing men ","3126a"
"Benjamin ","2096"
"Benton, Capt. Wm. ","4016"
"Berger, Alexander J ","718"
"Bethesda, pool of ","2023"
"Beveridge, Bishop ","4039"
"Bible ","2204, 3064"
"Bible, attentiveness to ","2161"
"Bible, authority of ","1993, 2167, 4011"
"Bible, authority of the ","1785"
"Bible, belief in ","2080, 2083"
"Bible, divine origin of ","2133, 4011"
"Bible, ignorance of ","2115"
"Bible, infallibility of ","2028"
"Bible, interpretation of ","1823"
"Bible, literal interpretation of qualified ","2031"
"Bible, misinterpretation of ","2108"
"Bible, necessity of reading ","1967"
"Bible, neglect of ","2050, 4011"
"Bible, purposes of ","2160"
"Bible, reading of ","2152"
"Bible, right reading of ","1884"
"Bible, study of ","2061, 2080, 2101, 2147, 3011, 3012"
"Bible, style of ","2155, 2171"
"Bible, translations of ","1993"
"Bible, truth of ","2100, 2187, 4011"
"Birdwell, Mr. ","4002"
"birth of Christ, celebration of ","3076"
"birth of Christ, meditation on ","3076"
"birth of Christ, proper influence on man ","3076"
"bishopric, establishment of ","1918"
"bishops ","2027"
"bishops, authority of ","2141"
"bishops, duties of ","115"
"bishops, necessity of ","2069"
"Bishop, office of ","2166"
"Bitouzey, Rev. Germain Barnabas ","68, 338"
"Blackstone ","1855"
"blacks, preached to ","1754"
"Black church, opened in Baltimore ","2116, 2119, 2126, 2133"
"Blair ","2059"
"Blair, John Durbarrow, sermons after 1800 ","667"
"Blair, John Durbarrow, sermon fragments ","667"
"Blake, Mrs. ","328"
"blasphemy ","169, 173, 175, 235n, 737, 4062"
"Blessed Virgin ","45, 63, 73, 1970, 3017"
"Blessed Virgin, Assumption of ","40, 46, 74, 82, 138, 185, 197, 249, 416"
"blessings ","4063"
"blessings, spiritual ","3783"
"Boarman, Rev. John ","58, 305, 306"
"Boarman, Rev. Sylvester ","54, 235j, 250, 256, 261, 269, 274, 276, 281, 290, 291, 442, 449, 458, 465"
"boasting in God, duty of ","3005"
"body, redemption of ","2111"
"body, resurrection of ","662, 2140"
"body and soul ","2008"
"body and soul, opposition of ","1982"
"body and soul, provision for ","2071"
"Bolingbroke, Lord ","676, 1827, 1855, 2021, 2059, 2080"
"Bolton, Rev. John ","233, 242, 296, 297, 309, 315, 316, 328, 1032"
"Book of Common Prayer ","926, 1828"
"Boone, Rev. John ","446"
"Bordley, Thomas, funeral of ","892"
"Bourdaloue, Rev. Louis ","5, 40, 75, 235i, 242, 243, 326, 449, 1033"
"Bourdley, Polly, funeral of ","95"
"Bowman [Bowrman? Bawnman?], Jane ","4062"
"Boyle ","1757, 1827, 1855"
"Bramble, Anne, funeral of ","91"
"Bra[ux or -cey], Marguaret ","213"
"bread ","4021"
"bread and wine, sacramental ","4047"
"bride, church as ","4029"
"Britain ","2160"
"Britain, at odds with U.S. ","2191"
"brotherly love ","874, 3100, 3111"
"Brow & Wife, Maj[o]r  ","4016"
"Buchanan, Mrs. James, funeral of ","1845"
"Burford, Captain Sr. ","4016"
"Burgoyne, Gen. John, surrender of ","2183"
"Burk, John, funeral of ","95"
"business, proper conduct of ","4067"
"Butler, Samuel ","1778"
"Caesar ","1855"
"Cain ","2110"
"Cain and Abel ","2178"
"calamities, acceptance of ","2208"
"calamities, purpose of ","2191"
"calamities as judgments from God ","2191"
"Calvary ","2172"
"Calvin, John ","56"
"Campbell ","1827, 2059"
"Canaanites ","2110"
"Canaan, conquest of ","2100"
"Cana, marriage feast of ","155, 217, 342, 1664, 1929, 3038"
"Cane, F. ","1030"
"canonical scripture ","3044"
"Canterbury, St. Thomas of ","336"
"Canticles, Book of ","4029"
"Carey, D. ","1032"
"Carey, Rachel, funeral of ","88"
"Carey, Sally, funeral of ","95"
"Carrington, Col. George, funeral of ","931"
"Carr, Elizabeth ","4061"
"Carr, Jon ","1"
"Carter, Priscilla ","915"
"Carter, Robert, funeral of ","915"
"Cassandra ","672"
"catechism ","4013, 4014, 4015, 4020, 4021, 4031, 4037, 4039, 4045"
"Catholicism, defeat of ","3064"
"Catholicism, opposition to ","3044, 3045, 3046, 3047"
"Catholic Church ","150"
"Catholic Church, criticism of ","1817, 1849, 1891, 1993, 2000, 2047, 4014, 4026"
"Catholic Church, persecution of ","118"
"Causse, Rev. John B. ","112, 113"
"Cavenaughs ","295"
"certainty of dissolution of the world ","3068"
"certainty of last judgment ","3122"
"certainty of salvation ","4006"
"chapel, dedication of ","63"
"chapel, opening of ","1669"
"Chapman, Nuthill ","1870"
"character, man's ","3041"
"charities, misuse of ","2014"
"charity ","156, 207, 210, 398, 421, 438, 470, 794, 874, 1770, 1790, 1793, 1795, 1802, 1811, 1823, 1846, 1911, 1944, 1947, 1961, 2029, 2033, 2036, 2039, 2043, 2046, 2049, 2054, 2061, 2063, 2071, 2078, 2079, 2089, 2094, 2095, 2105, 2120, 2137, 2149, 2165, 2166, 2171, 2179, 2181, 2184, 2190, 2198, 4006, 4006, 4017, 4022, 4066"
"charity, Christian ","330, 3030"
"charity, fraternal ","238"
"charity, fundamental Christian doctrine ","2130, 4042"
"charity, necessity of ","1766, 1859, 2082, 2094"
"charity, persuasion to ","1769"
"charity school ","2180"
"Charles I, execution of ","2066"
"chastisement ","4063"
"chastity ","1615, 1978, 4026"
"cheerfulness ","4016, 4018"
"cheerfulness, from obedience ","3022"
"cheer, good ","4016"
"Chew, Thomas John ","1778"
"children ","392, 969a, 969, 970, 971, 972, 974, 975, 1790"
"children, Christ's love for ","1802"
"children, discipline of ","160, 2099"
"children, duties of ","1784, 4031"
"children, duty towards ","156, 160, 192"
"children, duty to educate ","3037, 4010, 4031"
"children, duty to obey parents ","680"
"children, education of ","143, 2101, 2102, 4031"
"children, importance of to God ","934o"
"children, joy of ","3058"
"children, must obey parents ","1756"
"children, overindulgence of ","2105"
"children, parents' duties to ","1839, 2021, 4031"
"children, poor, duties to ","1841"
"children, proper education of ","1744"
"children, religious education of ","637, 649, 4031"
"children, teaching music to ","1897"
"children, training by parents ","2174, 4031"
"children of clergymen ","1944"
"Children of Light ","1673"
"chosen people ","2156, 4009, 4027"
"Christ's coming, preparation for ","1853"
"Christ's disciples ","3050"
"Christ's divinity denied ","1894"
"Christ's incarnation ","2074"
"Christ's influence ","3131"
"Christ's love ","3131"
"Christ's yoke, easiness of ","934rr"
"Christianity, based on reason ","2135"
"Christianity, benefits of accepting ","1923"
"Christianity, benefits of to the world ","2129"
"Christianity, consolations of ","2198"
"Christianity, conversion to ","2073"
"Christianity, damaged by schism ","2057"
"Christianity, decay of ","469, 682"
"Christianity, defense of ","2073"
"Christianity, different than Judaism ","4007"
"Christianity, effects of ","1835"
"Christianity, evidences of ","1827, 1830, 1831, 1832, 1833, 1834, 1835, 1836, 1855"
"Christianity, genuine ","2204"
"Christianity, growth of ","1926"
"Christianity, insincere ","2151"
"Christianity, legal support of ","2016"
"Christianity, objections to ","1853, 1855"
"Christianity, obligations of ","2026"
"Christianity, philosophy of ","676"
"Christianity, progress of ","1895, 2016, 2073"
"Christianity, proofs of ","1905"
"Christianity, rationalist approach to ","1928"
"Christianity, reasonableness of ","2062"
"Christianity, rejection of ","1923"
"Christianity, spread of ","2131"
"Christianity, success of ","1830"
"Christianity, truth of ","1830"
"Christians, community of ","476"
"Christians, complacent ","2014, 4043"
"Christians, courage of early ","2129"
"Christians, damned ","4046"
"Christians, degeneracy of ","2203"
"Christians, denominational differences ","2116"
"Christians, examples to ","934tt"
"Christians, fair-weather ","4038"
"Christians, idle ","2084"
"Christians, lukewarm ","306, 1942, 2195, 2205, 4038, 4042, 4043"
"Christians, obligations of ","2106, 2112"
"Christians, persecution of ","1787, 1789"
"Christians, persecution of by Jews ","2206"
"Christians, persecution of early ","2100"
"Christians, privileges of ","2108"
"Christians, sincere ","2163, 4042"
"Christians, temptations of early ","2189"
"Christians, treatment of early ","2202"
"Christian anger ","2174"
"Christian armor ","2093"
"Christian character ","1609, 4016"
"Christian charity ","3030"
"Christian Church, establishment of ","100"
"Christian comfort ","3048"
"Christian conduct ","2175, 2190"
"Christian conversation ","2085, 2179"
"Christian deportment ","2184"
"Christian dispensation ","2179"
"Christian doctrine ","3075"
"Christian duty ","1796, 1816, 1908, 1910, 2024, 2098, 2111, 2132, 3015, 3054, 3116, 4012, 4048"
"Christian education ","143, 2147, 4031"
"Christian faith ","3062, 3073, 4020"
"Christian hope ","3113"
"Christian indifference ","3058, 3064"
"Christian life ","3056"
"Christian life, living a ","3026, 3059, 3060, 3127, 4012"
"Christian life, obligations of ","100"
"Christian life, quality of ","1854"
"Christian martyrdom ","1789"
"Christian pleasure ","3111"
"Christian rebirth ","2174"
"Christian religion ","4046"
"Christian unity ","2078"
"Christian unity, benefit of ","3025"
"Christian virtue ","3089"
"Christmas ","64, 71, 921, 927, 3052, 3054, 4036"
"Christmas, sermon for ","927, 3052, 4035"
"Christ, acknowledgement of ","1868"
"Christ, actions of ","3073"
"Christ, ambassadors for ","791, 801"
"Christ, Ascension of ","334, 383, 679, 1024, 2087, 3013"
"Christ, atonement of ","1899, 2178"
"Christ, authority of ","1989"
"Christ, baptism of ","2173"
"Christ, belief in ","2101, 4049, 4064"
"Christ, betrayal of ","635"
"Christ, betrayal of by Judas ","3043"
"Christ, birth of ","86, 87, 94, 289, 290, 990, 1627, 2128, 3017, 4035"
"Christ, blessings of ","2011"
"Christ, blood of ","1635, 4010, 4021, 4039"
"Christ, body and blood of ","1006, 3020, 4047"
"Christ, body of ","96, 4021"
"Christ, burial of ","1020"
"Christ, character of ","676, 1812, 1813, 2071"
"Christ, church founded by ","2106"
"Christ, Church of ","3006, 4037"
"Christ, commission to the Apostles ","2151, 2152, 4047"
"Christ, commitment to ","991b, 4022, 4034"
"Christ, compassion of ","789, 2047"
"Christ, confidence in ","2090"
"Christ, contemplation of his sufferings ","477, 4016"
"Christ, crucifixion of ","106, 934w, 1617, 1651, 1727, 1986, 2107, 2139, 2165, 2187, 4019, 4026, 4032, 4041, 4044, 4049"
"Christ, David's prophecy of ","2177"
"Christ, death of ","1887, 1888, 1889, 4016, 4019, 4047, 4051, 4061"
"Christ, defended by Peter ","2187"
"Christ, denied by Peter ","2187"
"Christ, descent from David ","2127"
"Christ, dignity of ","2026, 4022"
"Christ, divine and human nature of ","1970, 2098, 4035"
"Christ, divine power of ","2139, 4003"
"Christ, divinity of ","633, 934a, 1794, 2096, 2107, 2128, 2129, 2151, 2205"
"Christ, dominion of ","2098"
"Christ, duty to imitate ","3125"
"Christ, emulation of ","3024, 4042"
"Christ, exaltation of ","1617, 1842"
"Christ, example of ","676, 1640, 3015"
"Christ, faith in ","642, 4012"
"Christ, fellowship with God through ","1658"
"Christ, forgiveness in ","1611"
"Christ, frequenting of synagogues ","2113"
"Christ, fulfillment of prophecy ","2165"
"Christ, healing power of ","1719, 1935"
"Christ, hour of ","664"
"Christ, humanity of ","2177"
"Christ, humiliation of ","1617"
"Christ, humility of ","1747, 4035"
"Christ, imitation of ","1842, 1906, 1910, 1935, 1963, 2030, 2042, 2050, 2070, 2071, 2081, 2104, 2106, 2135, 2136, 2165, 2174, 2189, 3015, 3024, 4022, 4025, 4048, 4064"
"Christ, incarnation of ","934y, 2106, 2152, 4035"
"Christ, intercession of ","1794, 4029"
"Christ, invitation of ","4029"
"Christ, Jesus ","59, 60, 241, 272"
"Christ, justification through ","1965, 4039, 4061"
"Christ, knowledge of ","991a, 991, 2185, 4041"
"Christ, life of ","2172, 4013"
"Christ, love for mankind ","4047"
"Christ, love of ","1614, 1615, 1620, 4016, 4029"
"Christ, man's savior ","1975"
"Christ, martyrdom of ","1785"
"Christ, mercy of ","2192, 2206, 4021, 4029"
"Christ, mildness of toward sinners ","2156"
"Christ, ministry of ","117"
"Christ, miracles of ","1787, 2127"
"Christ, moral system of ","676"
"Christ, mysteries of ","4046"
"Christ, mystical body of ","4061"
"Christ, mystical union with ","4029"
"Christ, name of ","3101, 4046"
"Christ, nativity of ","225, 4035"
"Christ, obedience of ","1026"
"Christ, obedience to ","1614, 1615"
"Christ, opposition to ","1923"
"Christ, pardon of sinners ","2068"
"Christ, Passion of ","200, 3131"
"Christ, passion of ","934w, 1023, 1951, 2139, 4019"
"Christ, persecution of ","1818"
"Christ, preaching of ","2127, 2152, 2186, 4047"
"Christ, preparation of the people of ","1618"
"Christ, prepared for ","1619"
"Christ, presence of ","2170"
"Christ, presence of in Eucharist ","162"
"Christ, proper expression of love for ","1620"
"Christ, prophecies of ","2071, 2172"
"Christ, prophecy of ","200, 2128"
"Christ, prudence of ","1885"
"Christ, qualities of ","2098, 4022, 4041"
"Christ, reconciliation to ","4045"
"Christ, remembrance of ","4047"
"Christ, resurrection of ","76, 106, 182, 934b, 1887, 1888, 1889, 1892, 1940, 1941, 1986, 1987, 2070, 2106, 2107, 2139, 2140, 2187, 3072, 4006, 4019, 4049"
"Christ, revelation of ","1787"
"Christ, roles of ","2098, 4037, 4041, 4066"
"Christ, sacrifice of ","127, 1990, 2085, 2106, 4019, 4021, 4035, 4041, 4044, 4047"
"Christ, salvation through ","926, 1635, 1823, 2114, 2172, 2185, 3131, 4004, 4005, 4006, 4012, 4013, 4026, 4027, 4028, 4029, 4031, 4034, 4035, 4036, 4037, 4041, 4042, 4043, 4046, 4047, 4048, 4049, 4061, 4063"
"Christ, scourging of ","423"
"Christ, second coming of ","161, 226, 643, 2085, 2106, 2179, 3003, 4034"
"Christ, sepulchre of ","2027"
"Christ, similarity to Moses ","2128"
"Christ, soldiers of ","988"
"Christ, son of God ","4035"
"Christ, special relationship with John ","2198"
"Christ, spirit of ","4061"
"Christ, sufferings of ","2026, 2197, 4007, 4016, 4019, 4041, 4048"
"Christ, sufferings of commemorated ","1659"
"Christ, teachings of ","2080, 4026"
"Christ, temptation of ","1632, 1882, 1937, 2136, 4013, 4016"
"Christ, virtues of ","1935"
"Christ, witnessing for ","2151"
"Christ, yoke of ","1928"
"Christ as advocate ","4022, 4041"
"Christ as advocate for sinners ","934cc"
"Christ as an example ","3124"
"Christ as Judge ","679"
"Christ as king ","1842, 4041"
"Christ as mediator ","679, 1807, 1842, 1965, 2047, 2127, 4014, 4022, 4041, 4047"
"Christ as Messiah ","1992, 4066"
"Christ as priest ","1842, 4041"
"Christ as prophet ","1842, 4041"
"Christ as redeemer ","809, 1651, 1740, 1800, 1807, 1819, 1956, 1958, 1977, 1980, 2003, 2026, 2054, 2055, 2129, 2139, 3007, 3783, 4029"
"Christ as savior ","2015, 2063, 2070, 2098, 2165, 4049"
"Christ as teacher ","676"
"Christ Church, Baltimore, choir instituted ","2201"
"Christ Church, Baltimore, consecration of ","2145"
"Christ Church, Baltimore, financing of ","2056"
"Christ compared to Moses ","1974"
"Christ prophesied ","1974, 1975"
"Churches, erection and preservation of ","2166"
"Church, constitution and order of ","10"
"Church, doctrine of ","4026"
"Church, duty to support ","2167"
"Church, Fathers of the ","4020"
"Church, founded by Christ ","2106"
"Church, history of ancient ","2046"
"Church, infallibility of ","187, 235t"
"Church, proper behavior in ","1815, 4023, 4046"
"church, proper behavior in ","2145"
"Church, role of ","1655"
"Church, support of the ","1981, 4024"
"Church, true ","381, 4037"
"Church, unity of ","2069, 4037"
"Church, visible ","4010"
"church and state, relationship of ","1809"
"church and state, separation of ","1973, 2016"
"church as bride ","4029"
"Church as one body ","4037"
"church as wife ","4029"
"church attendance, poor ","2115"
"church attendance for social reasons ","2168"
"Church Fathers ","1755"
"Church of Christ ","3006, 4010, 4029, 4037"
"Church of England ","3093"
"Church of England, loyalty to non-conformists ","3064"
"Cicero ","1827, 1834, 2072"
"circumcision ","939, 1910, 1983, 4010, 4017, 4020"
"Claggett, Bishop Thomas John ","882, 883, 1918, 1981, 2027, 2069, 2143, 2166"
"Claggett, Bishop Thomas John, duty to support ","2167"
"Claggett, Bishop Thomas John, parish support of ","2164"
"Clark, Sarah ","841"
"Clay, Mary Sen. ","4016"
"Clement XIII ","61"
"clergy, as examples ","2092"
"clergy, compensation of ","2069"
"clergy, corruption of ","842, 3093"
"clergy, duties of ","1752, 1770, 1778"
"clergy, financial support of ","2166"
"clergy, giving good example ","2071, 2166"
"clergy, orders of ","2141"
"clergy, respect for ","2085"
"clergy of St. Paul ","928"
"clerical orders, role of ","2141"
"Clerk, Ann ","841"
"Clifton, Jacobus ","47, 48, 49, 50, 51"
"Cobbett, William ","1973"
"Colegate, Mrs., funeral of ","1805"
"Colegate, Thomas, funeral of ","1845"
"Coleman, John ","911"
"Colombiere, Rev. Claude de la ","450"
"comfort, Christian ","3048"
"comfort, divine ","1850"
"commandments ","675, 1838, 4015, 4039"
"commandments, duty to obey ","2133"
"commandments, keeping ","2031, 4020"
"commandments, respect for ","1822, 2079"
"commandment, first ","268, 428"
"commandment, great ","98"
"commerce, foolish dependence on ","638"
"commitment ","367, 380"
"commitment to Christ ","991b"
"communicants, worthy ","1641"
"communion ","181, 205, 805, 998, 999, 1000, 1001, 1002, 1003, 1004, 1005, 1006, 1007, 1008, 1009, 1658, 1662, 1757, 1781, 1799, 1837, 3079"
"Communion, benefits of ","1773"
"Communion, fear of taking ","1760"
"communion, frequent ","178, 420"
"Communion, Holy ","1815, 1817"
"Communion, importance of ","1743, 1754, 1758, 1759, 1766, 4047"
"Communion, preparation for ","224, 237, 396, 3081"
"Communion, sacrament of ","96, 1655, 4021, 4047"
"communion, unworthy ","294"
"Communion office, excellency of ","3080"
"communion office of the Church ","3080"
"communion with God ","741"
"community, benefits of ","4009"
"community service ","2171, 4009"
"companions, influence of ","3071"
"company, bad ","3071"
"comparison of man with God's other creatures ","3090"
"comparison of man with God ","3090"
"compassion ","167, 2049, 2200"
"compassion of Christ ","789"
"Conception, Immaculate ","215, 215"
"concerts, evil of sabbath ","2056"
"concord, consequences of ","3094"
"concord, duty of community to maintain ","3094"
"concord, lack of ","3094"
"concord, necessity of ","3094"
"conduct, Christian ","3039, 3040"
"conduct, good ","1949"
"conduct, man's ","3041"
"confession ","258"
"confession, general ","1856, 1857"
"confession, method of ","1031"
"confirmation ","432, 926, 4014"
"confirmation, rite of ","1918, 1919"
"conflagration, final ","4036"
"Confucianism ","2107"
"congregational duty to communion office ","3080"
"congregation, duties of ","1856, 1857, 1858"
"conscience ","672, 917, 1850, 1893, 3029, 3109, 4018, 4022, 4023, 4027, 4034, 4064"
"conscience, authority of ","917"
"conscience, condemnation of ","2075"
"conscience, good ","170, 919, 934v, 2207, 4032, 4043"
"conscience, illumination of good ","919"
"conscience, on ","4005"
"conscience, powers of ","2184"
"Consecration of the Elements ","3079"
"consolation ","4061"
"consolation, sources of ","2085"
"consolation of religious music ","2201"
"Constantine, conquest of paganism ","2131"
"contentment ","780"
"contentment, a sign of virtue ","2207"
"Continental Army ","4068"
"Continental Congress ","4011"
"conversation, Christian ","1854, 2085, 2179"
"conversation, good ","1639, 1640, 4046"
"conversation, heavenly ","3026"
"conversion ","475, 937, 3031, 4008, 4066"
"conversion, sincere ","387"
"conversion, speedy ","270"
"Cook, Isabel ","4061"
"Cooper, Mrs., and child, funeral of ","1870"
"Corinthians ","4008"
"Corinth ","4038"
"Cornelius ","1877"
"Cornelius, character of ","2084"
"Cornwallis, surrender of ","2183"
"Corporation for the Relief of Widows and Children of Deceased Clergymen ","1769, 1790, 1944, 2164"
"Corpus Christi ","181, 237, 303"
"Corpus Christi, Feast of ","205, 260"
"corruption of the soul ","3113"
"Cosden, Jeremiah, ordination of ","1833"
"country, duty to ","3000"
"Covenant, Christian ","4037"
"Covenant, New ","2112, 4037, 4044"
"covenant of grace ","2177, 4010, 4013, 4014, 4017, 4021, 4027, 4028, 4031, 4035, 4036, 4037, 4041, 4044, 4063, 4066"
"covenant of works ","4016, 4028, 4037, 4066"
"covetousness ","1780, 2007, 4067"
"Cox, Mary ","4061"
"Crasset, Rev. Jean ","337"
"Craxall, Mrs., funeral of ","1870"
"Creation ","957"
"Creed, 10th article ","263"
"Creed, 11th article ","265, 279"
"Creed, 12th article ","264, 279"
"Creed, 1st article ","273"
"Creed, 3rd article of ","280"
"Creed, 5th article of ","299"
"Creed, 6th article ","281, 296"
"Creed, 8th article ","282"
"Creed, Apostles ","60, 72"
"Cromwell, Mrs., funeral of ","1748"
"Cromwell, Oliver ","4026"
"Cross, creeping to the ","369"
"Cross, sign of the ","327, 2165"
"crucifixion ","60, 382, 934gg, 981, 1651, 1800, 1887, 1888, 1889, 1892, 1923, 1943, 1986, 4019"
"crucifixion, caused by sin ","2172"
"crucifixion, fulfillment of prophecy ","2127"
"crucifixion of Christ ","934w, 1617, 2139, 2165, 2187"
"Curtain, James, funeral of ","1748"
"Cyprian ","2141"
"Cyrus ","4009"
"D'Alembert ","2059"
"damnation ","918, 3140, 4004, 4005, 4016, 4019, 4025, 4027, 4044, 4045, 4046, 4048, 4049, 4050, 4051, 4062"
"damnation, eternal ","3018, 4031"
"damnation of Hell ","1013"
"Daniel's prophecy from the Angel Gabriel ","2128"
"Daniel ","2145"
"Darius ","4009"
"darkness, days of ","3027"
"Darlington ","1"
"Darrell, William ","235b, 276, 328"
"David's prophecy of Christ ","2177"
"Davidson, Margt. ","1786"
"Davidson, Mary ","4062, 4064"
"David ","1745, 1746, 1859, 1897, 2100, 2201, 4005, 4010, 4020, 4027, 4028"
"David, address to Jonathan ","2138"
"David, apprehensions regarding secret faults ","2205"
"David, banishment from House of God ","2145"
"David, Christ's descent from ","2127"
"David, guilty of adultery and murder ","1750"
"David, hunted by Saul ","2138"
"David, psalms of ","2082"
"David, reformation of ","2104"
"David, royalty of ","2127"
"Davis, Richard Beale ","3038, 3063"
"Dawson, William ","928"
"deacons ","2027, 4014"
"dead, duty to ","3000"
"dead, Paul's instructions concerning the ","2199"
"dead, prayer for the ","90"
"dead, resurrection of ","2140, 3003, 3059, 3072"
"deathbed repentance ","1886, 4049"
"deathbed repentance, inefficacy of ","2111, 2208, 4030"
"death ","39, 92, 314, 673, 721, 940, 976, 1017, 1676, 1696, 1844, 1996, 3055, 3058, 3059, 3061, 3131, 3132, 4002, 4003, 4007, 4016, 4018, 4025, 4028, 4033, 4048, 4062, 4063, 4064"
"death, acceptance of ","1748"
"death, attitudes to ","1969"
"death, certainty ","1931"
"death, comfort in ","2199"
"death, contemplation of ","2181, 4001"
"death, defeat of ","3003"
"death, different views of ","2088"
"death, fear of ","934mm, 1788, 4005, 4030, 4032, 4034, 4048"
